Name	Id	Radius	Height	Invisible	Untouchable	Temporary	LifetimeInSFT	NoPickup	NoGravity	InterceptAction	Bounce	TrailParticles	TrailFire	TrailLine	SFTGroup	LifeTime	Speed	ParticleR	ParticleG	ParticleB	ParticleA
Erudine-laced ore	135	64	64	-	-	-	-	-	-	-	x	-	-	-	obj357	0	0	0	0	0	0
Stalt-laced ore	136	64	64	-	-	-	-	-	-	-	x	-	-	-	obj358	0	0	0	0	0	0
Power Stone	137	64	64	-	-	-	-	-	-	-	x	-	-	-	obj288	0	0	0	0	0	0
Power Stone	138	64	64	-	-	-	-	-	-	-	x	-	-	-	obj289	0	0	0	0	0	0
Arcane Key	139	64	64	-	-	-	-	-	-	-	x	-	-	-	obj290	0	0	0	0	0	0
Ogre Key	140	64	64	-	-	-	-	-	-	-	x	-	-	-	obj312	0	0	0	0	0	0
Gem of Restoration	141	64	64	-	-	-	-	-	-	-	x	-	-	-	null	0	0	0	0	0	0
Zircon	142	64	64	-	-	-	-	-	-	-	x	-	-	-	obj366	0	0	0	0	0	0
Iolite	143	64	64	-	-	-	-	-	-	-	x	-	-	-	obj367	0	0	0	0	0	0
Citrine	144	64	64	-	-	-	-	-	-	-	x	-	-	-	obj368	0	0	0	0	0	0
Amber	145	64	64	-	-	-	-	-	-	-	x	-	-	-	obj369	0	0	0	0	0	0
Amethyst	146	64	64	-	-	-	-	-	-	-	x	-	-	-	obj370	0	0	0	0	0	0
Topaz	147	64	64	-	-	-	-	-	-	-	x	-	-	-	obj371	0	0	0	0	0	0
Emerald	148	64	64	-	-	-	-	-	-	-	x	-	-	-	obj372	0	0	0	0	0	0
Sapphire	149	64	64	-	-	-	-	-	-	-	x	-	-	-	obj373	0	0	0	0	0	0
Ruby	150	64	64	-	-	-	-	-	-	-	x	-	-	-	obj374	0	0	0	0	0	0
Diamond	151	64	64	-	-	-	-	-	-	-	x	-	-	-	obj375	0	0	0	0	0	0
Cannonball of Dominion	152	64	64	-	-	-	-	-	-	-	x	-	-	-	obj376	0	0	0	0	0	0
Null	153	16	16	-	-	-	-	-	-	-	-	-	-	-	null	0	0	0	0	0	0
longsword	154	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj001	0	0	0	0	0	0
2 handed sword	155	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj006	0	0	0	0	0	0
Broadsword	156	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj009	0	0	0	0	0	0
Cutlass	157	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj012	0	0	0	0	0	0
Dagger	158	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj016	0	0	0	0	0	0
Long Dagger	159	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj016	0	0	0	0	0	0
axe	160	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj023	0	0	0	0	0	0
Two handed axe	161	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj028	0	0	0	0	0	0
Spear	162	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj031	0	0	0	0	0	0
Halberd	163	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj036	0	0	0	0	0	0
Trident	164	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj039	0	0	0	0	0	0
Long bow	165	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj042	0	0	0	0	0	0
Crossbow	166	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj047	0	0	0	0	0	0
Mace	167	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj050	0	0	0	0	0	0
Hammer	168	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj055	0	0	0	0	0	0
Club	169	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj058	0	0	0	0	0	0
Staff	170	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj061	0	0	0	0	0	0
Blaster Pistol	171	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj064	0	0	0	0	0	0
Blaster Rifle	172	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj065	0	0	0	0	0	0
Leather Armor	173	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj066	0	0	0	0	0	0
Chainmail 	174	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj071	0	0	0	0	0	0
Plate mail 	175	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj076	0	0	0	0	0	0
Large Shield	176	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj079	0	0	0	0	0	0
Small Shield 	177	64	64	-	-	-	-	-	-	-	x	-	-	-	7OBJ084	0	0	0	0	0	0
Helm	178	64	64	-	-	-	-	-	-	-	x	-	-	-	7OBJ090	0	0	0	0	0	0
Hat	179	64	64	-	-	-	-	-	-	-	x	-	-	-	7OBJ094	0	0	0	0	0	0
Crown	180	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj097	0	0	0	0	0	0
Belt	181	64	64	-	-	-	-	-	-	-	x	-	-	-	OBJ101	0	0	0	0	0	0
Cloak	182	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj105	0	0	0	0	0	0
Gauntlets	183	64	64	-	-	-	-	-	-	-	x	-	-	-	7OBJ111	0	0	0	0	0	0
Boots	184	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj115	0	0	0	0	0	0
Ring	185	64	64	-	-	-	-	-	-	-	x	-	-	-	7OBJ120	0	0	0	0	0	0
Amulet	186	64	64	-	-	-	-	-	-	-	x	-	-	-	OBJ130	0	0	0	0	0	0
Wand	187	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj135	0	0	0	0	0	0
Phirna Root	188	64	64	-	-	-	-	-	-	-	x	-	-	-	7OBJ140	0	0	0	0	0	0
Widowsweep Berries	189	64	64	-	-	-	-	-	-	-	x	-	-	-	7OBJ141	0	0	0	0	0	0
Mushrooms	190	64	64	-	-	-	-	-	-	-	x	-	-	-	7OBJ142	0	0	0	0	0	0
Poppysnaps 	191	64	64	-	-	-	-	-	-	-	x	-	-	-	7OBJ143	0	0	0	0	0	0
Rose petals 	192	64	64	-	-	-	-	-	-	-	x	-	-	-	7OBJ144	0	0	0	0	0	0
Vial of Troll's Blood	193	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj145	0	0	0	0	0	0
Ruby	194	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj146	0	0	0	0	0	0
Dragon's eye	195	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj147	0	0	0	0	0	0
Meteorite fragment	196	64	64	-	-	-	-	-	-	-	x	-	-	-	7OBJ148	0	0	0	0	0	0
Harpy Feather	197	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj149	0	0	0	0	0	0
Moonstone	198	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj150	0	0	0	0	0	0
Toadstool	199	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj151	0	0	0	0	0	0
Fae dust	200	64	64	-	-	-	-	-	-	-	x	-	-	-	7OBJ152	0	0	0	0	0	0
Sulfur	201	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj153	0	0	0	0	0	0
Garnet	202	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj154	0	0	0	0	0	0
Vial of Devil Ichor	203	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj155	0	0	0	0	0	0
Obsidian	204	64	64	-	-	-	-	-	-	-	x	-	-	-	7OBJ156	0	0	0	0	0	0
Vial of Ooze endoplasm	205	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj157	0	0	0	0	0	0
Mercury	206	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj158	0	0	0	0	0	0
Philosopher's Stone	207	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj159	0	0	0	0	0	0
Blue Potion	208	64	64	-	-	-	-	-	-	-	x	-	-	-	7OBJ160	0	0	0	0	0	0
Red Potion	209	64	64	-	-	-	-	-	-	-	x	-	-	-	7OBJ161	0	0	0	0	0	0
Yellow Potion	210	64	64	-	-	-	-	-	-	-	x	-	-	-	7OBJ162	0	0	0	0	0	0
White Potion	211	64	64	-	-	-	-	-	-	-	x	-	-	-	7OBJ163	0	0	0	0	0	0
Gray Potion	212	64	64	-	-	-	-	-	-	-	x	-	-	-	7OBJ164	0	0	0	0	0	0
Black Potion	213	64	64	-	-	-	-	-	-	-	x	-	-	-	7OBJ165	0	0	0	0	0	0
Purple Potion	214	64	64	-	-	-	-	-	-	-	x	-	-	-	7OBJ166	0	0	0	0	0	0
Green Potion	215	64	64	-	-	-	-	-	-	-	x	-	-	-	7OBJ167	0	0	0	0	0	0
Orange Potion	216	64	64	-	-	-	-	-	-	-	x	-	-	-	7OBJ168	0	0	0	0	0	0
Red and Orange Potion	217	64	64	-	-	-	-	-	-	-	x	-	-	-	null	0	0	0	0	0	0
Red and Purple Potion	218	64	64	-	-	-	-	-	-	-	x	-	-	-	null	0	0	0	0	0	0
Red and Green Potion	219	64	64	-	-	-	-	-	-	-	x	-	-	-	7OBJ171	0	0	0	0	0	0
Blue and Orange Potion	220	64	64	-	-	-	-	-	-	-	x	-	-	-	7OBJ172	0	0	0	0	0	0
Blue and Purple Potion	221	64	64	-	-	-	-	-	-	-	x	-	-	-	7OBJ173	0	0	0	0	0	0
Blue and Green Potion	222	64	64	-	-	-	-	-	-	-	x	-	-	-	7OBJ174	0	0	0	0	0	0
Yellow and Orange Potion	223	64	64	-	-	-	-	-	-	-	x	-	-	-	7OBJ175	0	0	0	0	0	0
Yellow and Purple Potion	224	64	64	-	-	-	-	-	-	-	x	-	-	-	7OBJ176	0	0	0	0	0	0
Yellow and Green Potion	225	64	64	-	-	-	-	-	-	-	x	-	-	-	7OBJ177	0	0	0	0	0	0
Orange and Purple Potion	226	64	64	-	-	-	-	-	-	-	x	-	-	-	7OBJ178	0	0	0	0	0	0
Purple and Green Potion	227	64	64	-	-	-	-	-	-	-	x	-	-	-	7OBJ179	0	0	0	0	0	0
Orange and Green Potion	228	64	64	-	-	-	-	-	-	-	x	-	-	-	7OBJ180	0	0	0	0	0	0
Empty Potion Bottle	229	64	64	-	-	-	-	-	-	-	x	-	-	-	7OBJ181	0	0	0	0	0	0
Scroll	230	64	64	-	-	-	-	-	-	-	x	-	-	-	7OBJ182	0	0	0	0	0	0
Spellbook	231	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj190	0	0	0	0	0	0
Gem	232	64	64	-	-	-	-	-	-	-	x	-	-	-	OBJ196	0	0	0	0	0	0
Key	233	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj205	0	0	0	0	0	0
Peacock Feather Quill	234	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj247	0	0	0	0	0	0
Wetsuit	235	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj299	0	0	0	0	0	0
Signet Ring	236	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj250	0	0	0	0	0	0
Sealed Letter	237	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj251	0	0	0	0	0	0
Sealed Letter	238	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj251	0	0	0	0	0	0
Sealed Letter	239	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj251	0	0	0	0	0	0
Sealed Letter	240	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj251	0	0	0	0	0	0
Sealed Letter 	241	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj251	0	0	0	0	0	0
Sealed Letter 	242	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj251	0	0	0	0	0	0
Sealed Letter	243	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj251	0	0	0	0	0	0
Sealed Letter	244	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj251	0	0	0	0	0	0
Lich Jar	245	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj259	0	0	0	0	0	0
Genie Lamp	246	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj260	0	0	0	0	0	0
Statuette	247	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj261	0	0	0	0	0	0
Statuette	248	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj262	0	0	0	0	0	0
Statuette	249	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj263	0	0	0	0	0	0
Big Tapestry	250	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj365	0	0	0	0	0	0
Painting 1	251	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj265	0	0	0	0	0	0
Painting 2	252	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj265	0	0	0	0	0	0
Painting 3	253	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj265	0	0	0	0	0	0
Vase	254	64	64	-	-	-	-	-	-	-	x	-	-	-	7OBJ268	0	0	0	0	0	0
Flower	255	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj269	0	0	0	0	0	0
Skull	256	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj270	0	0	0	0	0	0
Thigh Bone	257	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj271	0	0	0	0	0	0
Jar with Magic Dust	258	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj272	0	0	0	0	0	0
Bottle of Poison	259	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj273	0	0	0	0	0	0
Red Apple	260	64	64	-	-	-	-	-	-	-	x	-	-	-	7obj274	0	0	0	0	0	0
Wealthy Hat	261	64	64	-	-	-	-	-	-	-	x	-	-	-	7OBJ275	0	0	0	0	0	0
Musical Instrument 1	262	64	64	-	-	-	-	-	-	-	x	-	-	-	7Obj276	0	0	0	0	0	0
Musical Instrument 2	263	64	64	-	-	-	-	-	-	-	x	-	-	-	7Obj277	0	0	0	0	0	0
