#;Text;Notes;Owner;;
14;My brother, Isthric the Tongue, went to check on the tobersk plants on one of the lesser islands.  He has not returned!  I am afraid that he is one of those stranded by the cataclysm. He may even be hurt!  If you were to fix the Portals of Stone, he would surely be able to return, and we could get help to those who need it!  Find him for me!;;Rohtnax;;
15;My Granda used to tell us of the times past, when the Portals of Stone were the main travel route between the islands.  She told us that the keys to the Portals disappeared during one of the first raids committed by the Regnan Pirates.  If the Portals of Stone were working my brother Isthric could return back to the main island!;;Rohtnax;;
16;That rude man?  He's more concerned with that Abandoned Temple than he is with the life that goes on around him!  My Granda warned him that the Temple is a place of great Evil.  He never listened.  Now Granda isn't with us anymore and we have no one but Brekish Onefang to remind us of the past.;;Rohtnax;;
17;We have offended the Ancients!  Why else would they call up the Mountain of Fire!  The Prophecies tell of a time when the oceans would boil!  This is the beginning of the end!;;Pascella Tisk;;
18;There are many Prophecies that tell of the destruction of Jadame and the entire world!   Most tell of a time when the world will be consumed by that which created it.  Perhaps the Ancients have decided to wipe us all out!;;Pascella Tisk;;
19;There is one Prophecy, the Prophecy of the Snake, that I have been unable to find a copy of.  I think it may be most revealing about the future of Jadame.;;;;
;;;;;
"Fredrick Talimere, the Cleric, has told me of the snake ruins, and of the Abandoned Temple.  He is in agreement with me, that there may be a copy of this prophecy, somewhere in the temple.  Could you find it for me?""";;Pascella Tisk;;;
20;You must find a way off of these islands. Someone must take news of what has happened here to our masters, the Merchants of Alvar!  They must know of the cataclysm and of the Regnan raid! ;;;;
;;;;;
"I've written a letter to the Merchants of Alvar representative in Ravenshore, Elgar Fellmoon. In it I explain our situation here. If anyone can advise us on what to do here, it is Fellmoon. Take this to him now.""";;Dadeross;;;
21;You must bring my letter to Elgar Fellmoon in Ravenshore!;;Dadeross;;
22;Take this crystal to Fredrick Talimere. I know that it has something to do with the portals of stone. Perhaps he can tell you how it functions.;;Brekish Onefang;;
23;Bring the portal crystal to Fredrick Talimere. He will know what it does.;;Brekish Onefang;;
24;The Merchant Council had sent our greatest warrior, Cauri Blackthorne, to consult with the Sun Temple priests about the disasters that have struck all of Jadame.;;;;
;;;;;
Cauri left for the Temple of the Sun in Murmurwoods shortly after rumors of the cataclysms were heard here in Alvar.  She was to return after consulting the priests.  We are very concerned that she has not returned.;;;;;
;;;;;
"As for your promotion, only Cauri can accurately test your skills and assess your worthiness for promotion.  If you find her, provide her with any assistance she may need and return here with news of her status and location.""";;Old Dark Elf;;;
25;Have you found Cauri?  We really need to know what happened to her!  Without her, we are all diminished!;;Old Dark Elf;;
26;Thank you for your assistance with the Basilisk Curse.  Usually I am prepared to handle the vile lizards, but this time there were just too many of them.;;;;
;;;;;
The Temple of the Sun asked me to check on a few pilgrims that were looking for the Druid Circle of Stone in this area.  When I found the first statue, I realized what had happened to the pilgrims.  ;;;;;
;;;;;
"I myself did not know of the increase in the number of Basilisks in this area.  They seem to be agitated by something.  I was going to investigate the Druid Circle of Stone when the Basilisks attacked me.""";;Cauri Blackthorne;;;
27;::Cauri looks over the Dark Elf(s) in your party::;;;;
;;;;;
To rescue me, you must have researched my path, and investigated the places I had been.  This demonstrates the intelligence needed to succeed in dealing with the world and business.;;;;;
;;;;;
To get to where I was attacked, you must have the skills needed to fight the Basilisks and other threats, demonstrating your prowess as a warrior.  Skill in battle is needed when proper negotiations break down.;;;;;
;;;;;
To ask me for promotion demonstrates desire, and without desire success will always escape your grasp.;;;;;
;;;;;
"You have all of the traits necessary to hold the title of Patriarch.  I will notify to Council upon my return.  It would be my pleasure to travel with you again.  You can find me in the Inn in Ravenshore.""";;Cauri Blackthorne;;;
28;I need to investigate the Circle of Stone further for the Temple of the Sun.  Hopefully not all of the pilgrims met the fate of these. Hopefully there are survivors!;;;;
;;;;;
"Something has agitated the creatures in this area, and I think the source can be found in the Circle.""";;Cauri Blackthorne;;;
29;You know…I have a power stone that will activate the portal to the abandoned temple. And you have one that will allow us to reach the island where that portal is!;;;;
;;;;;
If we joined forces, we could reach the temple with ease. What say you?;;;;;
;;;;;
"Fredrick Talimere offers to join your party.""";PLACEHOLDER;Fredrick Talimere;;;
30;Cauri returned and informed us of this assistance you provided her.  She also notified us of your promotion.  Congratulations, may your profits bring you much joy!;;Old Dark Elf;;
31;Cauri Blackthorne was here well over a week ago, maybe longer.  She had asked us many questions about the elemental incursions.  We provided her with what information we had here.  She said she would return to Alvar with the information.  Before she left, we asked her if she could do a favor for us.  We asked her if she could check on a group of pilgrims that were traveling to the old Druid Circle of Stone to the northeast of here.  She assured us that she would check in on them on her way back to Alvar.;;Cleric of the Sun;;
32;You come to me claiming to have a message from one of my caravan masters. Well, where is it then? If it was so important, perhaps you should have been better about not losing it along the way!;;Elgar Fellmoon;;
33;What is this? A letter from caravan master, Dadeross? Let's see…hmmm…;;;;
;;;;;
Well, it seems that serious events are afoot. It is a pity--what has happened on Dagger Wound. Serious action may need to be taken, but I require more information…;;;;;
;;;;;
"…and I think I know how to get it! Perhaps you would be interested in helping me? I will compensate you, of course. And, here. Take this as payment for delivering Dadeross' letter.""";;Elgar Fellmoon;;;
34;The local smugglers have the fastest boats in Ravenshore. If these were available to my agents, they could make quick scouting missions up and down the coast so we could see the extent of the cataclysm mentioned in Dadeross' letter.;;;;
;;;;;
"Here. Bring this letter to the smuggler leader, Arion Hunter. I'm sure it will """"persuade"""" him to lend his services. You'll find his hideout westward up the coast.";;;;;
;;;;;
"Oh, I almost forgot. The smugglers--they're wererats--and you know how they can be. Hunter can be reasoned with, but don't be surprised if his crew is less than civil.""";;Elgar Fellmoon;;;
35;Listen. We need those boats! Deliver my letter to Arion Hunter. Did you forget? His lair is to the west, up the coast!;;Elgar Fellmoon;;
36;Very good, and here is the payment we agreed upon. Hunter's boats will be useful to us through the crisis.;;;;
;;;;;
"Yes, """"crisis,"""" I say! Since your initial visit, several other caravans have missed their scheduled stops. There are also the rumors. Twice I've heard of the appearance of a burning lake of fire rising out of the desert.";;;;;
;;;;;
"Volcanoes! Lakes of fire! I fear the mysterious crystal has something to do with it. In any event, the guildmasters in Alvar must be informed!""";;Elgar Fellmoon;;;
37;As you may be aware, our guild headquarters is located in the city of Alvar. If you've never been there, the easiest way to reach it is to follow the river up through the canyon to the north.;;;;
;;;;;
"Go to the guild house and find Bastian Loudrin. Tell him about the crystal, and the rumors. Lourdrin will know what to do.""";;Elgar Fellmoon;;;
38;You must reach Bastian Loudrin in Alvar. Go! He must be informed of recent events!;;Elgar Fellmoon;;
39;This is the home of Cauri Blackthorne, greatest Dark Elf warrior.  She is currently out, working for the Merchant Council of Alvar.  Perhaps you should consult them as to her whereabouts.;;Old Dark Elf;;
40;You did all that to my guards just to deliver a letter! Let me see that…;;;;
;;;;;
…hmmm…Fellmoon wants my boats? Never! I…what!…he threatens my Irabelle…I…I…sigh…;;;;;
;;;;;
"V-very well. You can tell Fellmoon he can have my boats. I guess there's no refusing the Merchants of Alvar what they want.""";;Arion Hunter;;;
41;My cargoes are not the kind that want inspecting by harbor officials so my boats have to be, and are, the fastest on the coast of Jadame. They can even outrun a Regnan galley! From here they run west to Ravage Roaming and east to Shadowspire.;;Arion Hunter;;
42;Ancient Troll legends tell of a time when we did not live here in this desolate region.  They tell of a place that was quiet and tranquil.  We were driven from this place by the Curse of the Stone.  So for many hundred years we have dwelt here upon the Sand of Iron.  Now it seems we will be forced from this place as well.  The growing sea of fire has destroyed most of my village.  Many friends and family have perished.  This may indeed be the end of my Clan.;;;;
;;;;;
"There is a saying amongst my people, """"a thing lives only as long as it is remembered.""""  As long as I remember our homeland, then it will always be there for us to return too.  It just needs to be found.""";;TROLL PROMO;;;
43;Perhaps if you could locate our previous homeland, and check to see if the Curse of the Stone still exists.  If it does perhaps there is a way to remove it.  Any Troll in your party who completes this task would be promoted to War Troll of our Clan. Many honors are bestowed with this title, and you would be forever known to us as a legendary hero.;;;;
;;;;;
"One of our warriors, Dartin Dunewalker, set out to find this place.  He left thinking he would find clues among the stone fields of Ravage Roaming.  Perhaps you can find him there and work together--or at the least, find clues that will lead you to our goal.""";;TROLL PROMO;;;
44;The Alliance must be completed, and a unified course of action decided upon.  Return to Alvar and consult the Merchant Council.;;TROLL PROMO;;
45;You have found our Ancient Home?  Its located in the western area of the Murmurwoods?  This is wonderful news.  Perhaps there is still time to move my people.  Unfortunately the Elemental threat must be dealt with first, or no people will be safe! ;;;;
;;;;;
"All Trolls among you have been promoted to War Troll, and their names will be forever remembered in our songs.  I will teach the rest of you what skills I can, perhaps it will be enough to help you save all of Jadame.""";;TROLL PROMO;;;
46;"You were sent to find the Ancient Troll Home?  Your assistance is welcomed!  I am at a loss; the clues I followed to this region have lead to a dead end.  No one here knows about the Curse of the Stone mentioned in our legends.  The Ogre Mage, Zog was less than helpful.  I was lucky to escape his fortress with my life. ";;;;
;;;;;
"Although, he may have provided assistance with out meaning too!  When I mentioned the Curse of the Stone, he said if I bothered him further, he would be sure to cage me with his pet Basilisk!  Basilisks roam the Murmurwoods!""";;Volog Sandwind;;;
47;Thanks again for your assistance with the Basilisk curse!  Hurry back to Alvar!  We must do what we can to save Jadame.;;Cauri Blackthorne;;
48;Thanks for finding our Ancient Home, once the treat to Jadame has been handled we can begin to move there!;;TROLL PROMO;;
49;Have you found the Ancient Home for our Clan?  Without its location, my people will surely perish!;;TROLL PROMO;;
50;Disaster in Dagger Wound, too? This is indeed disturbing. If one were to believe all the rumors, one would think that all of Jadame is in upheaval and chaos.;;;;
;;;;;
I wish I knew more. I rely on our caravan masters for news, but all who were supposed to arrive here this month have not. What I do hear, troubles me. Hurricanes, floods, and now a volcano! The worst I've heard is that a sea of fire has appeared in the Ironsand Desert--and this from many sources.;;;;;
;;;;;
"I wonder if this crystal in Ravenshore has something to do with it. Its appearance at the onset of the calamity seems to be more than a coincidence.""";;Bastian Loudrin;;;
51;All of this upheaval is seriously impacting our guild's business. I need more information, but I'm being buried in gossip and rumor.;;;;
;;;;;
Many tell me of this sea of fire in the Ironsand Desert. I've heard the tale enough that I almost believe it. Confirmation or denial of the lake's existence would be of great help to me.;;;;;
;;;;;
"If you would serve me, go to the Ironsand Desert and seek this lake. If it is indeed there, find me someone who saw it appear. Bring him back here so I can hear his story myself.""";;Bastian Loudrin;;;
52;I must know more about what is going on in the Ironsand Desert. I can't use more rumors. I have enough of those already.;;;;
;;;;;
"I need you to actually go there. The desert is several days travel to the east.""";;Bastian Loudrin;;;
53;Well, so it is true. Imagine…a lake of fire. But where is my eyewitness? I need to speak with someone who saw its formation. This is important…for reasons I'm unwilling to discuss with you now.;;;;
;;;;;
"Find me someone who saw the birth of the lake of fire! Try searching the Troll village, Rust.""";;Bastian Loudrin;;;
54;You must form an alliance to stand against our threatened oblivion! Seek support from the Necromancers' Guild, Temple of the Sun, Minotaurs of Ravage Roaming, Dragons of Garrote Gorge, and the Dragon hunting party of Charles Quixote in Garrote Gorge. I'm sure that you will find it impossible to get all of them to agree to work together, but still, you must make your best effort.;;;;
;;;;;
"If we are to survive in this time of prophecy, my sages tell me that at least three of the groups I mentioned must agree to work together. Go and do this thing. If you value this world and your lives, go!""";;Bastian Loudrin;;;
55;You have done what I feared was impossible. Though these times are fraught with uncertainties, that you have united key factions of Jadame goes a long way towards securing our continued existence.;;;;
;;;;;
Well, I have done what I can. I leave the defense of the land to the alliance council. I hope they find the accommodations I have provided them in Ravenshore to be adequate--the guild house there is not our most luxurious. Still, I though it would be best if the council was located near the crystal.;;;;;
;;;;;
"I wish them, and you, good luck!""";;Bastian Loudrin;;;
56;Yes, I was here when the lake of fire first appeared. A strange gateway appeared on the desert plain outside the village. The fire you see spilled forth from it. The fire spread like water poured on the ground.;;;;
;;;;;
A wave of flames rushed over the edge of the village. Most of my people were lost instantly. What remains of this village is as you see it.;;;;;
;;;;;
"I was in the hills overlooking the village when this all happened. I saw it all, but I can hardly believe it.""";;Overdune Snapfinger;;;
57;I would come with you, If it were not for my father. So deep is his mourning for my brother, Vilebite, that he cannot care for himself.;;;;
;;;;;
My father believes that Vilebite's soul cannot rest until his remains are at rest in the village tomb. Unfortunately, Gogs infested the tomb when the lake of fire appeared.;;;;;
;;;;;
"Here! Take my brother's ashes. I'm sure my father's grief will lessen if they are placed in the tomb. Do this for me and I will travel with you to Alvar.""";;Overdune Snapfinger (add tomb details after tomb done and placed);;;
58;I will go with you only after my brother's ashes are safely in the village tomb.;;Overdune Snapfinger;;
59;You have done my family a great service. With his ashes safe in the holy sanctuary of the village tomb, Vilebite can lie in peace. My father, too is greatly improved. We have talked and I believe that he can now take care of himself while I accompany you to Alvar.;;Overdune Snapfinger;;
60;Vilebite was a good son. I will miss him. But at least I can take comfort knowing that he is at peace. Thank you for your kind and heroic deed.;;OVERDUNE'S FATHER;;
61;My father believed that the Necromancers of Shadowspire were attempting to create an undead Dragon.  This would be a truly horrid beast. He believed is was his personal duty to stop them.;;Leane Stormlance;;
62;My father Blazen, left here years ago to slay the Skeletal Dragons in the Shadowspire Region. Unfortunately, he has never returned.  He took with him, Ebonest, the greatest Dragon slaying spear ever forged. Charles Quixote has never forgiven my father for taking Ebonest with him.  Unfortunately we have no idea what befell my father.  Because my father was Charles’ second in command and responsible for the loss of Ebonest, Charles is unwilling to promote me to Champion, regardless of the merit of my skills. Perhaps if you find Ebonest, Charles with promote your knights and myself to Champions!;;Leane Stormlance;;
63;I was captured in the center of the Mad Necromancer’s lab.  There I was tortured and many curses were placed upon me.   Ebonest must have been taken from me when I fell, and perhaps is still in the central chamber.  If you were to recover it and return it to Quixote, at least my family name will be cleared, and my daughter can continue her life without my failure haunting her.;;Blazen Stormlance;;
64;Perhaps the Clerics of the Sun have a way to cure me, for they would be the only ones who would know how to counter the dark magics that afflict me. There is a friend of mine in Ravenshore named Dervish Chevron. He left the Temple of the Sun years ago to pursue his own research into the mysteries of Jadame.  Perhaps he would know of a cure, or even have it in his possession.  If he cannot help, promise you will return here and kill me so I may at last be at rest!;;Blazen Stormlance;;
65;Zanthora moved here from the Shadowspire to continue experiments she began at the Necromancers' Guild.  She desired to create the ultimate horror, the Skeletal Dragon.  Her fellow Necromancers feared the end result. If the created Dragons where ever to escape Zanthora’s control, there would be no stopping them.;;Blazen Stormlance;;
66;Blazen Stormlance was my lieutenant and my friend.  I never understood his personal quest--this need to find these rumored Skeletal Dragons.  He took my greatest tool with him.  With Ebonest in my hand, I would have the Dragon problem well in hand.  ;;Charles Quixote;;
67;The Clerics of the Sun imbued this spear with their blessings, making it the strongest spear forged.  Its power is said to be able to slay any Dragon with one blow.  If this were so, I could end my conflict quickly, cleanly and efficiently.;;Charles Quixote;;
68;"The Gem of Restoration may cure the knight, Blazen Stormlance, of what you say has befallen him.  There is no love lost between the Temple of the Sun and the Guild of Necromancers; any opponent of theirs is definitely a friend of ours.  Restore Stormlance to life so that he may rejoin Charles Quixote.";;;;
"		Dervish Chevron";;;;;
69;Have you found my father?  Or the spear Ebonest?  We must get it back to Charles Quixote!;;Leane Stormlance;;
70;You found Blazen Stormlance?  What about MY spear Ebonest?  You have that as well?;;;;
;;;;;
FANTASTIC!;;;;;
;;;;;
"I thank you for this and find myself in your debt!  I will promote all knights in your party to Champion and teach what skills I can to the rest of your party. """;;Charles Quixote;;;
71;What is this?  You ally with my mortal enemies and then seek to do me a favor?;;;;
;;;;;
I wonder what the Dragons think of this. But so be it.  I am in your debt for returning Ebonest to me.  I will promote any Knights in your party to Champion, however they will never be accepted in my service.  The rest I will teach what I can. ;;;;;
;;;;;
"I do not wish to see you again!""";;Charles Quixote;;;
72;"""An alliance to unite Jadame,"" you say. If it wasn't Lordrin who was proposing it, I would normally have slain you for my supper.";;;;
;;;;;
While intriguing, I cannot consider the idea now. We are under daily attack by the accursed knights of Charles Quixote. If he were not a problem, I could do as Lordrin asks.;;;;;
;;;;;
"Perhaps you could help me with Quixote?""";;Deftclaw Redreaver;;;
73;Last month one of Quixote's raiding parties invaded our caves. They slew many and took with them the egg containing my unborn heir. While those foul slayers hold the egg, we cannot attack their encampment.;;;;
;;;;;
"If you were to return the egg to me, I could destroy Quixote. Do this for me and I will join your alliance.""";;Deftclaw Redreaver;;;
74;If you want me to join your alliance, you will have to help me against Charles Quixote. Bring me the Dragon egg he stole from me!;;Deftclaw Redreaver;;
75;To attain the status of Great Wyrm, a Dragon must prove that he can handle himself against a great number of foes.  He must face down the vermin that Charles Quixote would send against us.  To the southwest of here, Quixote has established an encampment of his puny “Dragon Slayers.”  This camp is lead by Jeric Whistlebone, the second in command of Quixote’s army.  Destroy this camp!  Kill all of those who serve Quixote in that region and return to me.  Return to me with the sword of  Whistlebone the Slayer.  In doing this, you will prove to me your worthiness.  ;;Deftclaw Redreaver;;
76;You think I would promote a Dragon that serves those who have allied themselves with our Mortal enemy, Charles Quixote.  What arrogance!  What outrageousness!  You will have to prove yourselves to me! And in the proving you will deal a serious blow to your allies!  To the southwest of here, Quixote has established an encampment of his puny “Dragon Slayers.”  This camp is lead by Jeric Whistlebone, the second in command of Quixote’s army.  Destroy this camp!  Kill all of those who serve Quixote in that region and return to me.  Return to me with the sword of  Whistlebone the Slayer.;;Deftclaw Redreaver;;
77;"Have you slain the “Dragon Slayers?""  Where is the sword of Whistlebone the Slayer?!?";;Deftclaw Redreaver;;
78;"Have you slain the “Dragon Slayers?""  Or have you decided not to redeem yourselves in my eyes?";;Deftclaw Redreaver;;
79;You return to me with the sword of the Slayer, Whistlebone!  You are indeed worthy of my notice!  The Dragons in your group are promoted to Great Wyrm!  I will teach the others of your group what skills I can as a reward for their assistance!;;Deftclaw Redreaver;;
80;You return to me with the sword of the Slayer, Whistlebone!  Is there no end to the treachery that you will commit? Is there no one that you owe allegiance to?  I will promote those Dragons who travel with you to Great Wyrm, however they will never fly underneath me!  There rest of your traitorous group will be instructed in those skills which can be taught to them!  Go now!  Never show your face here again, unless you want it eaten!;;Deftclaw Redreaver;;
81;You have killed the Dragon Slayers, but where is the Sword of Whistlebone?  Return to me when you have it!;;Deftclaw Redreaver;;
82;Hmmm…things must be serious if trader Loudrin is involving himself in matters other than his own fortunes...and I must say that there is a taint of doom in the air.;;;;
;;;;;
If only for continued good business between my operation and his, I would normally entertain this notion of Loudrin's. Unfortunately, matters here are tying up all of my resources. I have none to spare for support of this alliance you speak of.;;;;;
;;;;;
"Say, perhaps we can help each other? If you were to take care of a little matter for me, I could consider honoring your request.""";;Charles Quixote;;;
83;"One of my customers, an Ogre that goes by the charming moniker of ""Zog the Jackal,"" has seriously betrayed my trust. I gave him an item of great value on promise of future payment. This rather large payment never arrived. I sent a messenger to demand return of the item--a Dragon's egg of great potential. This messenger was slain!";;;;
;;;;;
"Needless to say, this matter concerns me greatly. I have allotted both money and men for the purpose of revenge. If, however, you were to recover the egg for me from Zog's fortress in Ravage Roaming, I would be glad to pledge service to your alliance.""";;Charles Quixote;;;
84;Have you recovered the Dragon egg from Zog's Ravage Roaming fortress? Oh, never mind. I can see from your abashed expression that you have not.;;;;
;;;;;
"I stand firm on our deal. Bring me that egg, or I'll have nothing to do with your alliance!""";;Charles Quixote;;;
85;You have found Blazen Stormlance? But where is Ebonest?  Return to me when you have the spear and you will be promoted!;;Charles Quixote;;
86;That cursed knight, Charles Quixote is assembling his best Dragon Slayers at an encampment to the southwest of here.  He must be planning another assault upon the Dragon Caves!;;Deftclaw Redreaver;;
87;You would like my herd to join into an alliance? How could I refuse you? Not only have you saved us from certain death, we have suffered directly from the cataclysm the alliance is being created to fight!;;;;
;;;;;
"You have my pledge. With the greatest haste I myself will travel to Ravenshore to take a seat on the alliance council.""";;Masul;;;
88;It was the worst of horrors! I was on guard in the main labyrinth just north of here when the waters came. A great wave as high as my head flooded through the passages. I managed to reach this high chamber. I waited for others, but there were none. I fear that many of the herd are dead or trapped inside the lair.;;MINOTAUR CLUE GUY;;
89;Balthazar Lair has many levels. There are other chambers as high as this one., so there may be others who have survived.;;;;
;;;;;
"I have thought long on this. Though many of the tunnels are flooded, it may be possible to drain them using the doors and air vents as valves. In fact, the whole lair could be drained through the lower level escape tunnel. Help my herd! You would have our eternal gratitude.""";;MINOTAUR CLUE GUY;;;
90;I just feel it. There are still survivors of my herd trapped in the lair. If you can figure out how to drain the water from flooded passages, you may be able to reach them. Help them, I beg of you!;;MINOTAUR CLUE GUY;;
91;Balthazar, the greatest leader in the history of our herd, led our warriors in a mighty battle against the Dark Dwarf vermin that erupt from the earth and spread like a plague. It was not a battle that went well for us. Though Balthazar and some warriors escaped, many were lost along with Balthazar's Axe--his regalia of office, and a powerful artifact as well.;;Tessalar;;
92;Only Masul, our herd leader, can deem an individual worthy of the title of Minotaur Lord.  One way to prove your worth, would be to recover his father’s axe, the Axe of Balthazar from the bowels of the Mines of the Dark Dwarfs.  Set your feet upon the path of this quest, and great is you future!  But we must be sure that the axe you find is indeed the Axe of Balthazar.  Take the Axe to Dadeross, a Minotaur in the service of the Merchants of Alvar, on the island of Dagger Wound.  He will be able to verify the truth of what you find.;;Tessalar;;
93;These little vermin work with or for the Elements of the Earth.  No one can tell which.  They burrow up from the earth in search of wealth, food, and slaves.  Nothing is left behind where these scavengers have been.;;Tessalar;;
94;You have found the Axe of Balthazar!  Have you presented it to Dadeross?  Without his authentication, we can not proceed with the Rite’s of Purity!  Find him and return to us once you have presented him with the axe!;;Tessalar;;
95;You have found the Axe of Balthazar!  Have you presented it to Dadeross? Ah, you have authentication from Dadeross!  The Rite’s of Purity will begin immediately! You proven yourselves worthy, and our now members of our herd!  The Minotaurs who travel with you are promoted to Minotaur Lord.  The others in your group will be taught what skills we have that maybe useful to them.;;Tessalar;;
96;It was my pleasure to serve under Lord Balthazar, he was the finest herd leader in my tribe’s history.  Unfortunately, my services were pledged to the Merchants of Alvar, or I may have been in the battle where Balthazar fell.  Perhaps my ability and my axe could have saved my lord.  We’ll never know now.;;Dadeross;;
97;Of course I would know Balthazar's Axe if I saw it!  Do you have it with you? This IS the axe!  You must take this back to Tessalar, so the Rite’s of Purity may be performed upon the axe, so it be made ready for the son of Balthazar, Masul.  Take this letter with you, it carries my personal seal, and statement that this is indeed the Axe of Balthazar!;;Dadeross;;
98;Where is Balthazar's Axe?  You waste my time!  Find the axe, find Dadeross and return to me!;;Tessalar;;
99;Thank you for returning the Axe of Balthazar to us!  When we complete the Rites of Purity, we will present the axe to Masul. It will then be known as the Axe of Masul and surely Masul will be a wise and just herd leader.;;Tessalar;;
100;Of course I would know Balthazar's Axe if I saw it!  Do you have it with you?  If you find it, return to me so that I may certify that it is indeed the axe of my late lord, Balthazar.;;Dadeross;;
101;You have found Balthazar's Axe and I have authenticated it!  Hurry back to Tessalar so that the Rites of Purity may begin!;;Dadeross;;
102;Ah, you returned Balthazar's Axe with my certificate to Tessalar!  The Rites of Purity have begun.  Soon Lord Masul will wield his father's axe as his own!  Greatness will return to my herd!;;Dadeross;;
103;Of the many Prophecies of Jadame, the only ones that I have not be studied are the Prophecies of the Sun.  This temple was established by Tesius Dawnglow, who traveled here from Erathia many years ago to find these Prophecies.  Unfortunately, they were not found.  It is our hope that these Prophecies hold the solution to the events that are destroying Jadame.;;Verish;;
104;I know that the Prophecies can be found in the Lair of the Feathered Serpent.  However, I have no idea what that means, thus the clue is no help to me. ;;Verish;;
105;You seek promotion for the clerics of our faith who travel with you.?  I can promote you, but I do not place much trust or faith in strangers these days.  If you were to do something for me, such as finding the lost Prophecies of the Sun, and returning them to me, then I would be agreeable to promoting you.;;Verish;;
106;Have you found this Lair of the Feathered Serpent and the Prophecies of the Sun?  Do not waste my time!  The world is ending and you waste time with useless conversation!  Return to me when you have found the Prophecies and have taken them to the Temple of the Sun.;;Verish;;
107;You have found the lost Prophecies of the Sun?  May the Light forever shine upon you and may the Prophet guide your steps.  With these we may be able to find the answer to what has befallen Jadame! ;;Verish;;
108;You return. True to your word, you have located the Prophecies of the Sun and taken them to my brothers in the Temple of the Sun.  you are truly worthy, and with the Sun’s blessing I will promote the clerics who travel with you.  After, I will teach the rest of your group what skills I can as their reward.;;Verish;;
109;Korbu was the most powerful of the Vampire race.  Over one hundred years ago, he sought something that our kind cannot accept.  Absolution.  Somehow, Korbu began to experience guilt over the need to feed.  Or perhaps over the act of feeding itself.  He could no longer bear the thought of killing in order to survive.  Many of our elders argued with him.  He decided to find a place where he could ponder his existence.  Thus the Crypt of Korbu was constructed with slave labor in the Ravage Roaming region.   Korbu has not been heard from since he left.  ;;Lathean;;
110;In this time of chaos, we need the minds of all our elders.  Return to us with Korbu, or his remains, if he has perished.  If he has indeed perished, you must return his Sarcophagus with him.  We will attempt to reanimate him so that we may consult his wisdom.;;Lathean;;
