Random Item Generation By Treasure Level 1 - 6								
								
Item #	Pic File	1	2	3	4	5	6	
41	item041	5	5	2	0	0	0	Ogre Fighting Stick
42	item042	0	10	5	2	0	0	Steel Spear
43	item043	0	0	10	5	2	0	Elven Long Spear
44	item044	0	0	0	10	5	0	War Spear
45	item045	0	0	0	0	10	10	Dragon Harpoon
46	item046	5	5	2	0	0	0	Improvised Voulge
47	item048	0	10	5	2	0	0	Halberd
48	item047	0	0	10	5	2	0	Beaked Halberd
49	item049	0	0	0	10	5	0	Minotaur Campaign Axe
50	item050	0	0	0	0	10	10	Labyrinth Grapple
51	item051	5	5	2	0	0	0	Hayfork
52	item052	0	10	5	2	0	0	Infantry Fork
53	item053	0	0	10	5	2	0	Lizardman Trident
54	item054	0	0	0	10	5	0	Regnan Trident
55	item055	0	0	0	0	10	10	Triton Trident
56	item056	5	5	2	0	0	0	Hunting Bow
57	item057	0	10	5	2	0	0	Recurve Bow
58	item058	0	0	10	5	2	0	Snakewood Bow
59	item059	0	0	0	10	5	0	Elven Warbow
60	item060	0	0	0	0	10	10	Devilbone Bow
61	item061	5	5	2	0	0	0	Light Crossbow
62	item062	0	10	5	2	0	0	Blood Drop Crossbow
63	item063	0	0	10	5	2	0	Hunting Crossbow
64	item064	0	0	0	10	5	0	Caravaner's Crossbow
65	item065	0	0	0	0	10	10	Regnan Crossbow
66	item066	5	5	2	0	0	0	Mace
67	item067	0	10	5	2	0	0	Flail
68	item068	0	0	10	5	2	0	Temple Mace
69	item069	0	0	0	10	5	0	Reverend Sceptre
70	item070	0	0	0	0	10	10	Trollish War Mace
71	item071	5	5	2	0	0	0	Sledgehammer
72	item072	0	10	5	2	0	0	Field Hammer
73	item073	0	0	10	5	2	0	Warhammer
74	item074	0	0	0	10	5	0	Sun Hammer
75	item075	0	0	0	0	10	10	Trollish Maul
76	item076	10	5	2	0	0	0	Club
77	item077	5	0	2	2	0	0	Thornbark Club
78	item078	0	0	5	5	10	0	Overlord's Club
79	item079	5	5	2	0	0	0	Journey Staff
80	item080	0	10	5	2	0	0	Orb Staff
81	item081	0	0	10	5	2	0	Priestly Staff
82	item082	0	0	0	10	5	0	Serpent Staff
83	item083	0	0	0	0	10	10	Bone Staff
84	item084	25	35	0	0	0	0	Leather Jerkin
85	item085	0	25	35	25	0	0	Hardened Leather Vest
86	item086	0	0	25	35	25	0	Caravaner's Leather
87	item087	0	0	0	25	35	25	Regnan Leather
88	item088	0	0	0	0	25	35	Alvarian Leather
89	item089	5	15	25	0	0	0	Rusty Mail Vest
90	item090	0	10	25	10	0	0	Steel Chainmail
91	item091	0	0	10	25	10	0	Minotaur Chainmail
92	item092	0	0	0	10	25	10	Siertal Chainmail
93	item093	0	0	0	0	10	35	Erudine Chainmail
94	item094	0	5	10	25	10	0	Rusty Breastplate
95	item095	0	0	5	10	15	5	Banded Plate
96	item096	0	0	0	10	25	10	Minotaur Plate
97	item097	0	0	0	5	35	20	Dark Knight Plate
98	item098	0	0	0	0	10	35	Dragoning Plate
99	item099	5	5	2	0	0	0	Trollish Shield
100	item100	0	10	5	2	0	0	Thornbark Shield
101	item101	0	0	10	5	2	0	Regnan Tournament Shield
102	item102	0	0	0	10	5	0	Veteran Shield
103	item103	0	0	0	0	10	10	Dragon Hunter's Shield
104	item104	5	5	2	0	0	0	Wooden Buckler
105	item105	0	10	5	2	0	0	Caravaner's Small Shield
106	item106	0	0	10	5	2	0	Calvary Shield
107	item107	0	0	0	10	5	0	Death Head Shield
108	item108	0	0	0	0	10	10	Eldritch Shield
109	item109	10	15	2	0	0	0	Helm
110	item110	5	10	15	5	0	0	Lizardman Helm
111	item111	0	0	10	15	5	0	Full Helm
112	item112	0	0	5	10	15	5	Battle Helm
113	item113	0	0	0	5	10	20	Dragon Helm
114	item114	0	10	10	5	2	0	Cloth Hat
115	item115	0	0	10	10	5	0	Oilskin Cap
116	item116	0	0	5	10	10	5	Merchantman's Hat
117	item117	0	10	5	5	2	0	Leather Belt
118	item118	0	5	10	5	5	0	Sturdy Belt
119	item119	0	0	5	10	5	0	Wyvern Leather Belt
120	item120	0	0	5	5	10	10	Steel Belt
121	item121	0	0	2	5	10	20	Artificer's Belt
122	item122	5	5	2	0	0	0	Traveler's Cloak
123	item123	0	10	5	2	0	0	Moon Temple Cloak
124	item124	0	0	10	5	2	0	Alvar Cloak
125	item125	0	0	0	10	5	0	Necromancer Cloak
126	item126	0	0	0	0	10	10	Vampire Cloak
127	item127	5	15	5	5	2	0	Leather Gloves
128	item128	5	10	15	10	5	0	Troll Gauntlets
129	item131	0	0	10	15	10	0	Steel Gauntlets
130	item129	0	0	5	10	15	10	Minotaur Gauntlets
131	item130	0	0	2	5	10	20	Crusader's Gauntlets
132	item132	10	15	10	5	2	0	Walking Boots
133	item133	0	10	15	10	5	0	Hardened Leather Boots
134	item134	0	0	5	10	15	0	Regnan Boots
135	item135	0	0	0	5	10	15	Alvarian Boots
136	item136	0	0	0	2	15	25	Dragonning Boots
137	item137	10	20	10	10	0	0	Bronze Ring
138	item138	10	15	20	10	0	0	Gold Ring
139	item139	0	0	15	20	10	0	Pearl Ring
140	item140	0	0	10	20	15	0	Gemstone Ring
141	item143	0	0	10	20	20	0	Amethyst Ring
142	item142	0	0	5	10	20	0	Necromatic Ring
143	item141	0	0	2	5	10	20	Ruby Ring
144	item144	0	0	2	5	10	20	Vampire's Ring
145	item145	0	0	2	5	10	25	Sun Opal Ring
146	item146	0	0	0	0	20	30	Focal Ring
147	item147	0	10	10	10	10	0	Brass Charm
148	item148	0	5	10	10	10	0	Jade Amulet
149	item149	0	0	5	10	10	0	Blood Talisman
150	item150	0	0	2	5	10	20	Shadow Sect Medallion
151	item151	0	0	2	5	10	25	Locus Amulet
152	item152	0	0	2	2	0	0	Witch's Wand of Fire
153	item152	0	0	2	2	0	0	Witch's Wand of Sparks
154	item152	0	0	2	2	0	0	Witch's Wand of Poison
155	item152	0	0	2	2	0	0	Witch's Wand of Stunning
156	item152	0	0	2	2	0	0	Witch's Wand of Harming
157	item153	0	0	2	2	0	0	Shaman's Wand of Light
158	item153	0	0	2	2	0	0	Shaman's Wand of Ice
159	item153	0	0	2	2	0	0	Shaman's Wand of Lashing
160	item153	0	0	2	2	0	0	Shaman's Wand of Mind
161	item153	0	0	2	2	0	0	Shaman's Wand of Swarms
162	item155	0	0	1	2	3	0	Wizard Wand of Fireballs
163	item155	0	0	1	2	3	0	Wizard Wand of Acid
164	item155	0	0	1	2	3	0	Wizard Wand of Lightning
165	item155	0	0	1	2	3	0	Wizard Wand of Blades
166	item155	0	0	1	2	3	0	Wizard Wand of Berzerking
167	item154	0	0	0	1	2	3	Serpent Wand of Blasting
168	item154	0	0	0	1	2	3	Serpent Wand of the Fist
169	item154	0	0	0	1	2	3	Serpent Wand of Rocks
170	item154	0	0	0	1	2	3	Serpent Wand of Paralysis
171	item154	0	0	0	1	2	3	Arcane Wand of Clouds
172	item156	0	0	0	0	2	5	Necrotic Wand of Implosion
173	item156	0	0	0	0	2	5	Necrotic Wand of Distortion
174	item156	0	0	0	0	2	5	Necrotic Wand of Shrapnel
175	item156	0	0	0	0	2	5	Necrotic Wand of Shrinking
176	item156	0	0	0	0	2	5	Necrotic Wand of Incineration
177	item213	5	10	5	0	0	0	Zircon
178	item218	5	10	5	0	0	0	Iolite
179	item215	5	5	5	0	0	0	Citrine
180	item214	5	5	5	0	0	0	Amber
181	item220	0	5	10	5	0	0	Amethyst
182	item221	0	5	10	5	0	0	Topaz
183	item219	0	0	5	10	5	0	Emerald
184	item217	0	0	5	10	5	0	Sapphire
185	item212	0	0	0	5	10	5	Ruby
186	item216	0	0	0	5	10	5	Diamond
187	item204	0	0	0	0	0	0	Gold
188	item205	0	0	0	0	0	0	Gold
189	item206	0	0	0	0	0	0	Gold
190	null	0	0	0	0	0	0	_misc190
191	null	0	0	0	0	0	0	_misc191
192	null	0	0	0	0	0	0	_misc192
193	null	0	0	0	0	0	0	_misc193
194	null	0	0	0	0	0	0	_misc194
195	null	0	0	0	0	0	0	_misc195
196	null	0	0	0	0	0	0	_misc196
197	null	0	0	0	0	0	0	_misc197
198	null	0	0	0	0	0	0	_misc198
199	null	0	0	0	0	0	0	_misc199
200	item158	20	0	0	0	0	0	Widowsweep Berries
201	item161	5	10	5	0	0	0	Wolf's Eye
202	item162	0	0	5	10	5	0	Phial of Gog Blood
203	item163	0	0	0	0	5	10	Ruby
204	item164	0	0	0	0	0	5	Phoenix Feather
205	item157	20	0	0	0	0	0	Phima Root
206	item165	5	10	5	0	0	0	Meteor Fragment
207	item166	0	0	5	10	5	0	Will O' Wisp Heart
208	item167	0	0	0	0	5	10	Datura
209	item168	0	0	0	0	0	5	Dragon Turtle Fang
210	item160	20	0	0	0	0	0	Poppy Pod
211	item169	5	10	5	0	0	0	Thornbark
212	item170	0	0	5	10	5	0	Sulfur
213	item171	0	0	0	0	5	10	Garnet
214	item172	0	0	0	0	0	5	Unicorn Horn
215	item159	20	0	0	0	0	0	Mushroom
216	item173	5	10	5	0	0	0	Obsidian
217	item174	0	0	5	10	5	0	Wasp Wing
218	item175	0	0	0	0	5	10	Mercury
219	item176	0	0	0	0	0	5	Philosopher's Stone
220	item198	20	0	0	0	0	0	Potion Bottle
221	item181	10	5	0	0	0	0	Catalyst
222	item178	10	5	0	0	0	0	Cure Wounds
223	item177	10	5	0	0	0	0	Magic Potion
224	item179	10	5	0	0	0	0	Cure Weakness
225	item185	5	10	0	0	0	0	Cure Disease
226	item183	5	10	0	0	0	0	Cure Poison
227	item184	5	10	0	0	0	0	Awaken
228	item186	0	0	5	0	0	0	Haste
229	item187	0	0	5	0	0	0	Heroism
230	item188	0	0	5	0	0	0	Bless
231	item189	0	0	5	0	0	0	Preservation
232	item190	0	0	5	0	0	0	Shield
233	item191	0	0	5	0	0	0	Recharge Item
234	item192	0	0	5	0	0	0	Stoneskin
235	item193	0	0	5	0	0	0	Water Breathing
236	item194	0	0	5	0	0	0	Harden Item
237	item195	0	0	5	0	0	0	Remove Fear
238	item191	0	0	5	0	0	0	Remove Curse
239	item197	0	0	5	0	0	0	Cure Insanity
240	item180	0	0	0	2	1	0	Might Boost
241	item180	0	0	0	2	1	0	Intellect Boost
242	item180	0	0	0	2	1	0	Personality Boost
243	item180	0	0	0	2	1	0	Endurance Boost
244	item180	0	0	0	2	1	0	Speed Boost
245	item180	0	0	0	2	1	0	Accuracy Boost
246	item180	0	0	0	2	1	0	Flaming Potion
247	item180	0	0	0	2	1	0	Freezing Potion
248	item180	0	0	0	2	1	0	Noxious Potion
249	item180	0	0	0	2	1	0	Shocking Potion
250	item180	0	0	0	2	1	0	Swift Potion
251	item180	0	0	0	2	1	0	Cure Paralysis
252	item180	0	0	0	2	1	0	Divine Restoration
253	item180	0	0	0	2	1	0	Divine Cure
254	item180	0	0	0	2	1	0	Divine Power
255	item180	0	0	0	2	1	0	Luck Boost
256	item180	0	0	0	2	1	0	Fire Resistance
257	item180	0	0	0	2	1	0	Air Resistance
258	item180	0	0	0	2	1	0	Water Resistance
259	item180	0	0	0	2	1	0	Earth Resistance
260	item180	0	0	0	2	1	0	Mind Resistance
261	item180	0	0	0	2	1	0	Body Resistance
262	item182	0	0	0	0	2	1	Stone to Flesh
263	item182	0	0	0	0	2	1	Slaying Potion
264	item182	0	0	0	0	2	1	Pure Luck
265	item182	0	0	0	0	2	1	Pure Speed
266	item182	0	0	0	0	2	1	Pure Intellect
267	item182	0	0	0	0	2	1	Pure Endurance
268	item182	0	0	0	0	2	1	Pure Personality
269	item182	0	0	0	0	2	1	Pure Accuracy
270	item182	0	0	0	0	2	1	Pure Might
271	item182	0	0	0	0	2	1	Rejuvenation
272	null	0	0	0	0	0	0	_potion/reagent272
273	null	0	0	0	0	0	0	_potion/reagent273
274	null	0	0	0	0	0	0	_potion/reagent274
275	null	0	0	0	0	0	0	_potion/reagent275
276	null	0	0	0	0	0	0	_potion/reagent276
277	null	0	0	0	0	0	0	_potion/reagent277
278	null	0	0	0	0	0	0	_potion/reagent278
279	null	0	0	0	0	0	0	_potion/reagent279
280	null	0	0	0	0	0	0	_potion/reagent280
281	null	0	0	0	0	0	0	_potion/reagent281
282	null	0	0	0	0	0	0	_potion/reagent282
283	null	0	0	0	0	0	0	_potion/reagent283
284	null	0	0	0	0	0	0	_potion/reagent284
285	null	0	0	0	0	0	0	_potion/reagent285
286	null	0	0	0	0	0	0	_potion/reagent286
287	null	0	0	0	0	0	0	_potion/reagent287
288	null	0	0	0	0	0	0	_potion/reagent288
289	null	0	0	0	0	0	0	_potion/reagent289
290	null	0	0	0	0	0	0	_potion/reagent290
291	null	0	0	0	0	0	0	_potion/reagent291
292	null	0	0	0	0	0	0	_potion/reagent292
293	null	0	0	0	0	0	0	_potion/reagent293
294	null	0	0	0	0	0	0	_potion/reagent294
295	null	0	0	0	0	0	0	_potion/reagent295
296	null	0	0	0	0	0	0	_potion/reagent296
297	null	0	0	0	0	0	0	_potion/reagent297
298	null	0	0	0	0	0	0	_potion/reagent298
299	null	0	0	0	0	0	0	_potion/reagent299
300	item199	2	2	0	0	0	0	Torch Light
301	item199	2	2	0	0	0	0	Fire Bolt
302	item199	2	2	0	0	0	0	Fire Resistance
303	item199	2	2	0	0	0	0	Fire Aura
304	item200	0	2	2	0	0	0	Haste
305	item200	0	2	2	0	0	0	Fireball
306	item200	0	2	2	0	0	0	Fire Spike
307	item202	0	0	2	1	0	0	Immolation
308	item202	0	0	2	1	0	0	Meteor Shower
309	item202	0	0	2	1	0	0	Inferno
310	item201	0	0	0	1	1	0	Incinerate
311	item199	2	2	0	0	0	0	Wizard Eye
312	item199	2	2	0	0	0	0	Feather Fall
313	item199	2	2	0	0	0	0	Air Resistance
314	item199	2	2	0	0	0	0	Sparks
315	item200	0	2	2	0	0	0	Jump
316	item200	0	2	2	0	0	0	Shield
317	item200	0	2	2	0	0	0	Lightning Bolt
318	item202	0	0	2	1	0	0	Invisibility
319	item202	0	0	2	1	0	0	Implosion
320	item202	0	0	2	1	0	0	Fly
321	item201	0	0	0	1	1	0	Starburst
322	item199	2	2	0	0	0	0	Awaken
323	item199	2	2	0	0	0	0	Poison Spray
324	item199	2	2	0	0	0	0	Water Resistance
325	item199	2	2	0	0	0	0	Ice Bolt
326	item200	0	2	2	0	0	0	Water Walk
327	item200	0	2	2	0	0	0	Recharge Item
328	item200	0	2	2	0	0	0	Acid Burst
329	item202	0	0	2	1	0	0	Enchant Item
330	item202	0	0	2	1	0	0	Town Portal
331	item202	0	0	2	1	0	0	Ice Blast
332	item201	0	0	0	1	1	0	Lloyd's Beacon
333	item199	2	2	0	0	0	0	Stun
334	item199	2	2	0	0	0	0	Slow
335	item199	2	2	0	0	0	0	Earth Resistance
336	item199	2	2	0	0	0	0	Deadly Swarm
337	item200	0	2	2	0	0	0	Stone Skin
338	item200	0	2	2	0	0	0	Blades
339	item200	0	2	2	0	0	0	Stone to Flesh
340	item202	0	0	2	1	0	0	Rock Blast
341	item202	0	0	2	1	0	0	Telekinesis
342	item202	0	0	2	1	0	0	Death Blossom
343	item201	0	0	0	1	1	0	Mass Distortion
344	item199	2	2	0	0	0	0	Detect Life
345	item199	2	2	0	0	0	0	Bless
346	item199	2	2	0	0	0	0	Fate
347	item199	2	2	0	0	0	0	Turn Undead
348	item200	0	2	2	0	0	0	Remove Curse
349	item200	0	2	2	0	0	0	Preservation
350	item200	0	2	2	0	0	0	Heroism
351	item202	0	0	2	1	0	0	Spirit Lash
352	item202	0	0	2	1	0	0	Raise Dead
353	item202	0	0	2	1	0	0	Shared Life
354	item201	0	0	0	1	1	0	Resurrection
355	item199	2	2	0	0	0	0	Telepathy
356	item199	2	2	0	0	0	0	Remove Fear
357	item199	2	2	0	0	0	0	Mind Resistance
358	item199	2	2	0	0	0	0	Mind Blast
359	item200	0	2	2	0	0	0	Charm
360	item200	0	2	2	0	0	0	Cure Paralysis
361	item200	0	2	2	0	0	0	Berserk
362	item202	0	0	2	1	0	0	Mass Fear
363	item202	0	0	2	1	0	0	Cure Insanity
364	item202	0	0	2	1	0	0	Psychic Shock
365	item201	0	0	0	1	1	0	Enslave
366	item199	2	2	0	0	0	0	Cure Weakness
367	item199	2	2	0	0	0	0	Heal
368	item199	2	2	0	0	0	0	Body Resistance
369	item199	2	2	0	0	0	0	Harm
370	item200	0	2	2	0	0	0	Regeneration
371	item200	0	2	2	0	0	0	Cure Poison
372	item200	0	2	2	0	0	0	Hammerhands
373	item202	0	0	2	1	0	0	Cure Disease
374	item202	0	0	2	1	0	0	Protection from Magic
375	item202	0	0	2	1	0	0	Flying Fist
376	item201	0	0	0	1	1	0	Power Cure
377	item199	0	0	1	2	0	0	Light Bolt
378	item199	0	0	1	2	0	0	Destroy Undead
379	item199	0	0	1	2	0	0	Dispel Magic
380	item199	0	0	1	2	0	0	Paralyze
381	item200	0	0	0	2	1	0	Summon Wisp
382	item200	0	0	0	2	1	0	Day of the Gods
383	item200	0	0	0	2	1	0	Prismatic Light
384	item202	0	0	0	0	2	1	Day of Protection
385	item202	0	0	0	0	2	1	Hour of Power
386	item202	0	0	0	0	2	1	Sunray
387	item201	0	0	0	0	0	2	Divine Intervention
388	item199	0	0	1	2	0	0	Reanimate
389	item199	0	0	1	2	0	0	Toxic Cloud
390	item199	0	0	1	2	0	0	Vampiric Weapon
391	item199	0	0	1	2	0	0	Shrinking Ray
392	item200	0	0	0	2	1	0	Shrapmetal
393	item200	0	0	0	2	1	0	Control Undead
394	item200	0	0	0	2	1	0	Pain Reflection
395	item202	0	0	0	0	2	1	Dark Grasp
396	item202	0	0	0	0	2	1	Dragon Breath
397	item202	0	0	0	0	2	1	Armageddon
398	item201	0	0	0	0	0	2	Souldrinker
399	null	0	0	0	0	0	0	scroll 399
400	item207	0	0	0	0	0	0	Torch Light
401	item207	0	0	0	0	0	0	Fire Bolt
402	item207	0	0	0	0	0	0	Fire Resistance
403	item207	0	0	0	0	0	0	Fire Aura
404	item208	0	0	2	0	0	0	Haste
405	item208	0	0	2	0	0	0	Fireball
406	item208	0	0	2	0	0	0	Fire Spike
407	item210	0	0	0	1	0	0	Immolation
408	item210	0	0	0	1	0	0	Meteor Shower
409	item210	0	0	0	1	0	0	Inferno
410	item209	0	0	0	0	1	0	Incinerate
411	item207	0	0	0	0	0	0	Wizard Eye
412	item207	0	0	0	0	0	0	Feather Fall
413	item207	0	0	0	0	0	0	Air Resistance
414	item207	0	0	0	0	0	0	Sparks
415	item208	0	0	2	0	0	0	Jump
416	item208	0	0	2	0	0	0	Shield
417	item208	0	0	2	0	0	0	Lightning Bolt
418	item210	0	0	0	1	0	0	Invisibility
419	item210	0	0	0	1	0	0	Implosion
420	item210	0	0	0	1	0	0	Fly
421	item209	0	0	0	0	1	0	Starburst
422	item207	0	0	0	0	0	0	Awaken
423	item207	0	0	0	0	0	0	Poison Spray
424	item207	0	0	0	0	0	0	Water Resistance
425	item207	0	0	0	0	0	0	Ice Bolt
426	item208	0	0	2	0	0	0	Water Walk
427	item208	0	0	2	0	0	0	Recharge Item
428	item208	0	0	2	0	0	0	Acid Burst
429	item210	0	0	0	1	0	0	Enchant Item
430	item210	0	0	0	1	0	0	Town Portal
431	item210	0	0	0	1	0	0	Ice Blast
432	item209	0	0	0	0	1	0	Lloyd's Beacon
433	item207	0	0	0	0	0	0	Stun
434	item207	0	0	0	0	0	0	Slow
435	item207	0	0	0	0	0	0	Earth Resistance
436	item207	0	0	0	0	0	0	Deadly Swarm
437	item208	0	0	2	0	0	0	Stone Skin
438	item208	0	0	2	0	0	0	Blades
439	item208	0	0	2	0	0	0	Stone to Flesh
440	item210	0	0	0	1	0	0	Rock Blast
441	item210	0	0	0	1	0	0	Telekinesis
442	item210	0	0	0	1	0	0	Death Blossom
443	item209	0	0	0	0	1	0	Mass Distortion
444	item207	0	0	0	0	0	0	Detect Life
445	item207	0	0	0	0	0	0	Bless
446	item207	0	0	0	0	0	0	Fate
447	item207	0	0	0	0	0	0	Turn Undead
448	item208	0	0	2	0	0	0	Remove Curse
449	item208	0	0	2	0	0	0	Preservation
450	item208	0	0	2	0	0	0	Heroism
451	item210	0	0	0	1	0	0	Spirit Lash
452	item210	0	0	0	1	0	0	Raise Dead
453	item210	0	0	0	1	0	0	Shared Life
454	item209	0	0	0	0	1	0	Resurrection
455	item207	0	0	0	0	0	0	Telepathy
456	item207	0	0	0	0	0	0	Remove Fear
457	item207	0	0	0	0	0	0	Mind Resistance
458	item207	0	0	0	0	0	0	Mind Blast
459	item208	0	0	2	0	0	0	Charm
460	item208	0	0	2	0	0	0	Cure Paralysis
461	item208	0	0	2	0	0	0	Berserk
462	item210	0	0	0	1	0	0	Mass Fear
463	item210	0	0	0	1	0	0	Cure Insanity
464	item210	0	0	0	1	0	0	Psychic Shock
465	item209	0	0	0	0	1	0	Enslave
466	item207	0	0	0	0	0	0	Cure Weakness
467	item207	0	0	0	0	0	0	Heal
468	item207	0	0	0	0	0	0	Body Resistance
469	item207	0	0	0	0	0	0	Harm
470	item208	0	0	2	0	0	0	Regeneration
471	item208	0	0	2	0	0	0	Cure Poison
472	item208	0	0	2	0	0	0	Hammerhands
473	item210	0	0	0	1	0	0	Cure Disease
474	item210	0	0	0	1	0	0	Protection from Magic
475	item210	0	0	0	1	0	0	Flying Fist
476	item209	0	0	0	0	1	0	Power Cure
477	item207	0	0	0	1	0	0	Light Bolt
478	item207	0	0	0	1	0	0	Destroy Undead
479	item207	0	0	0	0	1	0	Dispel Magic
480	item207	0	0	0	0	1	0	Paralyze
481	item208	0	0	0	0	1	0	Summon Wisp
482	item208	0	0	0	0	1	0	Day of the Gods
483	item208	0	0	0	0	0	1	Prismatic Light
484	item210	0	0	0	0	0	1	Day of Protection
485	item210	0	0	0	0	0	1	Hour of Power
486	item210	0	0	0	0	0	1	Sunray
487	item209	0	0	0	0	0	1	Divine Intervention
488	item207	0	0	0	1	0	0	Reanimate
489	item207	0	0	0	1	0	0	Toxic Cloud
490	item207	0	0	0	0	1	0	Vampiric Weapon
491	item207	0	0	0	0	1	0	Shrinking Ray
492	item208	0	0	0	0	1	0	Shrapmetal
493	item208	0	0	0	0	1	0	Control Undead
494	item208	0	0	0	0	0	1	Pain Reflection
495	item210	0	0	0	0	0	1	Dark Grasp
496	item210	0	0	0	0	0	1	Dragon Breath
497	item210	0	0	0	0	0	1	Armageddon
498	item209	0	0	0	0	0	1	Souldrinker
499	null	0	0	0	0	0	0	book 499
500	item234	0	0	0	0	0	0	Elsenrail
501	item296	0	0	0	0	0	0	Glomenthal
502	item236	0	0	0	0	0	0	Terminus
503	item237	0	0	0	0	0	0	Judicious Measure
504	item240	0	0	0	0	0	0	Elderaxe
505	item241	0	0	0	0	0	0	Volcano
506	item045	0	0	0	0	0	0	Wurm Spitter
507	item243	0	0	0	0	0	0	Guardian
508	item239	0	0	0	0	0	0	Foulfang
509	item249	0	0	0	0	0	0	Scepter of Kings
510	item247	0	0	0	0	0	0	Breaker
511	item250	0	0	0	0	0	0	Staff of the Swamp
512	item245	0	0	0	0	0	0	Longseeker
513	item251	0	0	0	0	0	0	Serendine's Preservation
514	item252	0	0	0	0	0	0	Glomenmail
515	item253	0	0	0	0	0	0	Supreme Plate
516	item254	0	0	0	0	0	0	Eclipse
517	item261	0	0	0	0	0	0	Fleetfingers
518	item262	0	0	0	0	0	0	Hearlds Boots
519	item263	0	0	0	0	0	0	Ring of Planes
520	item256	0	0	0	0	0	0	Drogg's Helm
521	item258	0	0	0	0	0	0	Crown of Final Dominion
522	item260	0	0	0	0	0	0	Archangel Wings
523	item235	0	0	0	0	0	0	Snake
524	item004	0	0	0	0	0	0	Havoc
525	item010	0	0	0	0	0	0	Finality
526	item248	0	0	0	0	0	0	Hell's Cleaver
527	item242	0	0	0	0	0	0	Spiritslayer
528	item244	0	0	0	0	0	0	Trident of Rulership
529	item238	0	0	0	0	0	0	Blade of Mercy
530	item083	0	0	0	0	0	0	Staff of Elements
531	item059	0	0	0	0	0	0	Tournament Bow
532	item246	0	0	0	0	0	0	Lightning Crossbow
533	item251	0	0	0	0	0	0	Last Stage Cuirass
534	item255	0	0	0	0	0	0	Herondale's Lost Shield
535	item141	0	0	0	0	0	0	Ring of Fusion
536	item257	0	0	0	0	0	0	Lucky Hat
537	item121	0	0	0	0	0	0	Berserker Belt
538	item068	0	0	0	0	0	0	Mace of the Sun
539	item045	0	0	0	0	0	0	Ebonest
540	item010	0	0	0	0	0	0	Sword of Whistlebone
541	item040	0	0	0	0	0	0	Axe of Balthazar
542	null	0	0	0	0	0	0	artifact 542
543	null	0	0	0	0	0	0	artifact 543
544	null	0	0	0	0	0	0	artifact 544
545	null	0	0	0	0	0	0	artifact 545
546	null	0	0	0	0	0	0	artifact 546
547	null	0	0	0	0	0	0	artifact 547
548	null	0	0	0	0	0	0	artifact 548
549	null	0	0	0	0	0	0	artifact 549
550	null	0	0	0	0	0	0	artifact 550
551	null	0	0	0	0	0	0	artifact 551
552	null	0	0	0	0	0	0	artifact 552
553	null	0	0	0	0	0	0	artifact 553
554	null	0	0	0	0	0	0	artifact 554
555	null	0	0	0	0	0	0	artifact 555
556	null	0	0	0	0	0	0	artifact 556
557	null	0	0	0	0	0	0	artifact 557
558	null	0	0	0	0	0	0	artifact 558
559	null	0	0	0	0	0	0	artifact 559
560	null	0	0	0	0	0	0	artifact 560
561	null	0	0	0	0	0	0	artifact 561
562	null	0	0	0	0	0	0	artifact 562
563	null	0	0	0	0	0	0	artifact 563
564	null	0	0	0	0	0	0	artifact 564
