Name	Id	Type	Is3D
crystal dragon aware	1373	0	-
thunderbird attack	1380	0	-
thunderbird death	1381	0	-
thunderbird wince	1382	0	-
thunderbird aware	1383	0	-
wasp warrior attack	1390	0	-
wasp warrior death	1391	0	-
wasp warrior wince	1392	0	-
wasp warrior aware	1393	0	-
wyvern attack	1400	0	-
wyvern death	1401	0	-
wyvern wince	1402	0	-
wyvern aware	1403	0	-
gorgon attk	1410	0	-
gorgon death	1411	0	-
gorgon wince	1412	0	-
gorgon aware	1413	0	-
salamanderman attack	1420	0	-
salamanderman death	1421	0	-
salamanderman wince	1422	0	-
salamanderman aware	1423	0	-
phoenix attk	1430	0	-
phoenix death	1431	0	-
phoenix wince	1432	0	-
phoenix aware	1433	0	-
triton attack	1440	0	-
triton death	1441	0	-
triton wince	1442	0	-
triton aware	1443	0	-
turtle dragon attack	1450	0	-
turtle dragon death	1451	0	-
turtle dragon wince	1452	0	-
turtle dragon aware	1453	0	-
ravenman attack	1460	0	-
ravenman death	1461	0	-
ravenman wince	1462	0	-
ravenman aware	1463	0	-
malvolent attk	1470	0	-
malvolent death	1471	0	-
malvolent wince	1472	0	-
malvolent aware	1473	0	-
crystal_walker attk	1490	0	-
crystal_walker death	1491	0	-
crystal_walker wince	1492	0	-
crystal_walker aware	1493	0	-
gorgon attk	1500	0	-
gorgon death	1501	0	-
gorgon wince	1502	0	-
gorgon aware	1503	0	-
etherknight attk	1510	0	-
etherknight death	1511	0	-
etherknight wince	1512	0	-
etherknight aware	1513	0	-
juggeraut attk	1520	0	-
juggeraut death	1521	0	-
juggeraut wince	1522	0	-
juggeraut aware	1523	0	-
gog attk	1530	0	-
gog death	1531	0	-
gog wince	1532	0	-
gog aware	1533	0	-
bone dragon attk	1540	0	-
bone dragon death	1541	0	-
bone dragon wincewav	1542	0	-
bone dragon aware	1543	0	-
bedraggled peasant death	1551	0	-
bedraggled peasant wince	1552	0	-
naga attk	1560	0	-
naga death	1561	0	-
naga wince	1562	0	-
naga aware	1563	0	-
skeleton archer attack	1570	0	-
skeleton archer death	1571	0	-
skeleton archer wince	1572	0	-
skeleton archer aware	1573	0	-
dark_dwarf attk	1580	0	-
dark_dwarf death	1581	0	-
dark_dwarf wince	1582	0	-
pirate_warrior attack	1590	0	-
pirate_warrior death	1591	0	-
pirate_warrior wince	1592	0	-
pirate_crossbow attk	1600	0	-
pirate_crossbow death	1601	0	-
pirate_crossbow wince	1602	0	-
pirate_mage attk	1610	0	-
pirate_mage death	1611	0	-
pirate_mage wince	1612	0	-
crystal dragon attk	1620	0	-
crystal dragon death	1621	0	-
crystal dragon wince	1622	0	-
crystal dragon aware	1623	0	-
human_mercanary attk	1630	0	-
human_mercanary death	1631	0	-
human_mercanary wince	1632	0	-
human_mercanary aware	1633	0	-
plane guardian attack	1640	0	-
plane guardian death	1641	0	-
plane guardian wince	1642	0	-
plane guardian aware	1643	0	-
arch-angel_attk	1650	0	x
arch-angel_die	1651	0	x
arch-angel_wince	1652	0	x
arch-angel_fly	1653	0	x
archer-male_attk	1660	0	x
archer-male_die	1661	0	x
archer-male_wince	1662	0	x
bat_attk	1670	0	x
bat_die	1671	0	x
bat_wince	1672	0	x
bat_aware	1673	0	x
behemoth_attk	1680	0	x
behemoth_die	1681	0	x
behemoth_wince	1682	0	x
behemoth_aware	1683	0	x
beholder_attk	1690	0	x
beholder_die	1691	0	x
beholder_wince	1692	0	x
beholder_aware	1693	0	x
cleric-moon_attk	1700	0	x
cleric-moon_die	1701	0	x
cleric-moon_wince	1702	0	x
cleric-sun_attk	1710	0	x
cleric-sun_die	1711	0	x
cleric-sun_wince	1712	0	x
devil_attk	1720	0	x
devil_die	1721	0	x
devil_wince	1722	0	x
devil_aware	1723	0	x
dragonfly_attk	1740	0	x
dragonfly_die	1741	0	x
dragonfly_wince	1742	0	x
dragonfly_aware	1743	0	x
dwarf_attk	1750	0	x
dwarf_die	1751	0	x
dwarf_wince	1752	0	x
air elem_attk	1760	0	x
air elem_die	1761	0	x
air elem_wince	1762	0	x
air elem_fly	1763	0	x
earth elem_attk	1770	0	x
earth elem_die	1771	0	x
earth elem_wince	1772	0	x
earth elem_walk	1773	0	x
fire elem_attk	1780	0	x
fire elem_death	1781	0	x
fire elem_wince	1782	0	x
fire elem_fly	1783	0	x
light_action	1790	0	x
light_die01	1791	0	x
light_diewav	1792	0	x
water elem_attk	1800	0	x
water elem_die	1801	0	x
water elem_wince	1802	0	x
water elem_walk	1803	0	x
elf archer_attk	1810	0	x
elf archer_die	1811	0	x
elf archer_wince	1812	0	x
elf spear man_attk	1820	0	x
elf spear man_die	1821	0	x
elf spear man_wince	1822	0	x
fighter-chain_attk	1830	0	x
fighter-chain_die	1831	0	x
fighter-chain_wince	1832	0	x
fighter_leather_attk	1840	0	x
fighter_leather_die	1841	0	x
fighter_leather_wince	1842	0	x
fighter-plate_attk	1850	0	x
fighter-plate_die	1851	0	x
fighter-plate_wince	1852	0	x
gargoyle_attk	1860	0	x
gargoyle_die	1861	0	x
gargoyle_wince	1862	0	x
gargoyle_aware	1863	0	x
genie_attk	1870	0	x
genie_die	1871	0	x
genie_wince	1872	0	x
ghost_attk	1880	0	x
ghost_die	1881	0	x
ghost_wince	1882	0	x
ghost_aware	1883	0	x
goblin_attk	1890	0	x
goblin_die	1891	0	x
goblin_wince	1892	0	x
golem_attk	1900	0	x
golem_die	1901	0	x
golem_wince	1902	0	x
gog_attk	1910	0	x
gog_die	1911	0	x
gog_wince	1912	0	x
griffin_attk	1920	0	x
griffin_die	1921	0	x
griffin_wince	1922	0	x
griffen_aware	1923	0	x
harpy_attk	1930	0	x
harpy_die	1931	0	x
harpy_wince	1932	0	x
harpy_aware	1933	0	x
hydra_attk	1940	0	x
hydra_die	1941	0	x
hydra_wince	1942	0	x
hydra_aware	1943	0	x
lich_attk	1950	0	x
lich_die	1951	0	x
lich_wince	1952	0	x
lich_aware	1953	0	x
mage_attk	1960	0	x
mage_die	1961	0	x
mage_wince	1962	0	x
manticore_attk	1970	0	x
manticore_die	1971	0	x
manticore_wince	1972	0	x
manticore_aware	1973	0	x
medusa_attk	1980	0	x
medusa_die	1981	0	x
medusa_wince	1982	0	x
medusa_aware	1983	0	x
minotaur_attk	1990	0	x
minotaur_die	1991	0	x
minotaur_wince	1992	0	x
minotaur_aware	1993	0	x
monk_attk	2000	0	x
monk_die	2001	0	x
monk_wince	2002	0	x
necromancer_attk	2010	0	x
necromancer_die	2011	0	x
necromancer_wince	2012	0	x
ooze_attk	2020	0	x
ooze_die	2021	0	x
ooze_wince	2022	0	x
121peasentf1a_attack	2030	0	x
121peasentf1a_die	2031	0	x
121peasentf1a_charge	2032	0	x
121peasentf1a_attack	2040	0	x
121peasentf1a_die	2041	0	x
121peasentf1a_charge	2042	0	x
121peasentf1a_attack	2050	0	x
121peasentf1a_die	2051	0	x
121peasentf1a_charge	2052	0	x
dwarf male peasant_attk	2060	0	x
dwarf male peasant_die	2061	0	x
dwarf male peasant_wince	2062	0	x
dwarf male peasant_attk	2070	0	x
dwarf male peasant_die	2071	0	x
dwarf male peasant_wince	2072	0	x
dwarf male peasant_attk	2080	0	x
dwarf male peasant_die	2081	0	x
dwarf male peasant_wince	2082	0	x
elf-female peasant_attk	2090	0	x
elf-female peasant_die	2091	0	x
elf-female peasant_wince	2092	0	x
elf-female peasant_attk	2100	0	x
elf-female peasant_die	2101	0	x
elf-female peasant_wince	2102	0	x
elf-female peasant_attk	2110	0	x
elf-female peasant_die	2111	0	x
elf-female peasant_wince	2112	0	x
elf-male peasant_attk	2120	0	x
elf-male peasant_die	2121	0	x
elf-male peasant_wince	2122	0	x
elf-male peasant_attk	2130	0	x
elf-male peasant_die	2131	0	x
elf-male peasant_wince	2132	0	x
elf-male peasant_attk	2140	0	x
elf-male peasant_die	2141	0	x
elf-male peasant_wince	2142	0	x
127peasentf3a_attack	2150	0	x
127peasentf3a_die	2151	0	x
127peasentf3a_charge	2152	0	x
127peasentf3a_attack	2160	0	x
127peasentf3a_die	2161	0	x
127peasentf3a_charge	2162	0	x
127peasentf3a_attack	2170	0	x
127peasentf3a_die	2171	0	x
127peasentf3a_charge	2172	0	x
human-male peasant2_attk	2180	0	x
human-male peasant2_die	2181	0	x
human-male peasant2_wince	2182	0	x
human-male peasant2_attk	2190	0	x
human-male peasant2_die	2191	0	x
human-male peasant2_wince	2192	0	x
human-male peasant2_attk	2200	0	x
human-male peasant2_die	2201	0	x
human-male peasant2_wince	2202	0	x
human-male peasant2_attk	2210	0	x
human-male peasant2_die	2211	0	x
human-male peasant2_wince	2212	0	x
human-male peasant2_attk	2220	0	x
human-male peasant2_die	2221	0	x
human-male peasant2_wince	2222	0	x
human-male peasant2_attk	2230	0	x
human-male peasant2_die	2231	0	x
human-male peasant2_wince	2232	0	x
136peasentm2a_attack	2240	0	x
136peasentm2a_die	2241	0	x
136peasentm2a_charge	2242	0	x
136peasentm2a_attack	2250	0	x
136peasentm2a_die	2251	0	x
136peasentm2a_charge	2252	0	x
136peasentm2a_attack	2260	0	x
136peasentm2a_die	2261	0	x
136peasentm2a_charge	2262	0	x
freakin' rat_attk	2270	0	x
freakin' rat_die	2271	0	x
freakin' rat_wince	2272	0	x
freakin rats_aware	2273	0	x
robotattack	2280	0	x
robotdeath	2281	0	x
robotwince	2282	0	x
robotaware	2283	0	x
roc_attk	2290	0	x
roc_die	2291	0	x
roc_wince	2292	0	x
roc_aware	2293	0	x
sea monster_attk	2300	0	x
sea monster_die	2301	0	x
sea monster_wince	2302	0	x
sea monster_aware	2303	0	x
154skeletona_attack	2310	0	x
154skeletona_die	2311	0	x
154skeletona_charge	2312	0	x
154skeletona_move	2313	0	x
spider_attk	2320	0	x
spider_die	2321	0	x
spider_wince	2322	0	x
spider_aware	2323	0	x
swordsman_attk	2330	0	x
swordsman_die	2331	0	x
swordsman_wince	2332	0	x
thief_attk	2340	0	x
thief_die	2341	0	x
thief_wince	2342	0	x
titan_attk	2350	0	x
titan_die	2351	0	x
titan_wince	2352	0	x
troglodyte_attk	2360	0	x
troglodyte_die	2361	0	x
troglodyte_wince	2362	0	x
vampire_attk	2370	0	x
vampire_die	2371	0	x
vampire_wince	2372	0	x
vampire_aware	2373	0	x
warlock_attk	2380	0	x
warlock_die	2381	0	x
warlock_wince	2382	0	x
wight_attk	2390	0	x
wight_die	2391	0	x
wight_wince	2392	0	x
wight_aware	2393	0	x
wyvern_attk	2400	0	x
wyvern_die	2401	0	x
wyvern_wince	2402	0	x
wyvern_aware	2403	0	x
zomdie_attk	2410	0	x
zomdie_die	2411	0	x
zomdie_wince	2412	0	x
zombie_aware	2413	0	x
goblin female peasant_attk	2420	0	x
goblin female peasant_die	2421	0	x
goblin female peasant_wince	2422	0	x
goblin female peasant_attk	2430	0	x
goblin female peasant_die	2431	0	x
goblin female peasant_wince	2432	0	x
goblin female peasant_attk	2440	0	x
goblin female peasant_die	2441	0	x
goblin female peasant_wince	2442	0	x
goblin male peasant_attk	2450	0	x
goblin male peasant_die	2451	0	x
goblin male peasant_wince	2452	0	x
goblin male peasant_attk	2460	0	x
goblin male peasant_die	2461	0	x
goblin male peasant_wince	2462	0	x
goblin male peasant_attk	2470	0	x
goblin male peasant_die	2471	0	x
goblin male peasant_wince	2472	0	x
troll_attk	2480	0	x
troll_die	2481	0	x
troll_wince	2482	0	x
troll_aware	2483	0	x
treatattack	2490	0	x
treatdeath	2491	0	x
treatwince	2492	0	x
treataware	2493	0	x
goulattack	2500	0	x
gouldeath	2501	0	x
goulwince	2502	0	x
goulaware	2503	0	x
blasterguyattack	2510	0	x
blasterguydeath	2511	0	x
blasterguywince	2512	0	x
blasterguyaware	2513	0	x
dragon _attk	2520	0	x
dragon _die	2521	0	x
dragon _wince	2522	0	x
dragon_aware	2523	0	x
01archera_attack	2530	0	-
01archera_die	2531	0	-
01archera_charge	2532	0	-
01archera_fidget	2533	0	-
04barbariana_attack	2540	0	-
04barbariana_die	2541	0	-
04barbariana_charge	2542	0	-
04barbariana_fidget	2543	0	-
07bata_attack	2550	0	-
07bata_die	2551	0	-
07bata_charge	2552	0	-
07bata_fidget	2553	0	-
10beholdera_attack	2560	0	-
10beholdera_die	2561	0	-
10beholdera_charge	2562	0	-
10beholdera_fidget	2563	0	-
13bloodsuckera_attack	2570	0	-
13bloodsuckera_die	2571	0	-
13bloodsuckera_charge	2572	0	-
13bloodsuckera_fidget	2573	0	-
16clerica_attack	2580	0	-
16clerica_die	2581	0	-
16clerica_charge	2582	0	-
16clerica_fidget	2583	0	-
19cobraa_attack	2590	0	-
19cobraa_die	2591	0	-
19cobraa_charge	2592	0	-
19cobraa_fidget	2593	0	-
22cockatricea_attack	2600	0	-
22cockatricea_die	2601	0	-
22cockatricea_charge	2602	0	-
22cockatricea_fidget	2603	0	-
29demona_attack	2620	0	-
29demona_die	2621	0	-
29demona_charge	2622	0	-
29demona_fidget	2623	0	-
31dragoncavea_attack	2630	0	-
31dragoncavea_die	2631	0	-
31dragoncavea_charge	2632	0	-
31dragoncavea_fidget	2633	0	-
34dragonflya_attack	2640	0	-
34dragonflya_die	2641	0	-
34dragonflya_charge	2642	0	-
13bloodsuckera_fidget	2643	0	-
37dragonlanda_attack	2650	0	-
37dragonlanda_die	2651	0	-
37dragonlanda_charge	2652	0	-
37dragonlanda_fidget	2653	0	-
40dragoncovera_attack	2660	0	-
40dragoncovera_die	2661	0	-
40dragoncovera_charge	2662	0	-
13bloodsuckera_fidget	2663	0	-
43druidessa_attack	2670	0	-
43druidessa_die	2671	0	-
43druidessa_charge	2672	0	-
43druidessa_fidget	2673	0	-
46dwarfa_attack	2680	0	-
46dwarfa_die	2681	0	-
46dwarfa_charge	2682	0	-
46dwarfa_fidget	2683	0	-
49elemaira_attack	2690	0	-
49elemaira_die	2691	0	-
49elemaira_attack	2692	0	-
49elemaira_attack	2693	0	-
52elemeartha_attack	2700	0	-
52elemeartha_die	2701	0	-
52elemeartha_charge	2702	0	-
52elemeartha_fidget	2703	0	-
55elemfirea_attack	2710	0	-
55elemfirea_die	2711	0	-
55elemfirea_attack	2712	0	-
55elemfirea_attack	2713	0	-
58elemwatera_attack	2720	0	-
58elemwatera_die	2721	0	-
61fighterchaina_attack	2730	0	-
61fighterchaina_die	2731	0	-
61fighterchaina_charge	2732	0	-
61fighterchaina_fidget	2733	0	-
64fighterleathera_attack	2740	0	-
64fighterleathera_die	2741	0	-
64fighterleathera_charge	2742	0	-
61fighterleathera_fidget	2743	0	-
67gargoylea_attack	2750	0	-
67gargoylea_die	2751	0	-
67gargoylea_charge	2752	0	-
67gargoylea_walk	2753	0	-
70geniea_attack	2760	0	-
70geniea_die	2761	0	-
70geniea_attack	2762	0	-
70geniea_walk	2763	0	-
73ghosta_attack	2770	0	-
73ghosta_die	2771	0	-
73ghosta_charge	2772	0	-
73ghosta_walk	2773	0	-
76goblina_attack	2780	0	-
76goblina_die	2781	0	-
76goblina_charge	2782	0	-
76goblina_fidget	2783	0	-
79guarda_attack	2790	0	-
79guarda_die	2791	0	-
61fighterchaina_charge	2792	0	-
22cockatricea_charge	2800	0	-
22cockatricea_die	2801	0	-
