2D Events by Type ( NPC's present are from NPC database)																		Schedules		Other Exits		Questbit	Enter																																										
#	#	Type	Map	Picture	Name	Proprieter Name	Title	Picture	State	Rep	Per	Val	A	B	C	Notes:	Notes(2):	Open	Closed	Pic	Map	Restrictions	Text	SkillOffers																																									
33	5	Magic Shop	6	66	Mystical Mayhem	Ned	Magician	2149	0	0	0	3	1.5		21			6	18	0	0	0	0	IdentifyItem,RepairItem																																									
34	6	Magic Shop	35	39	Amulets of Power	Thurl	Magician	2167	0	0	0	4	1.5		28			6	18	0	0	0	0	IdentifyItem,RepairItem																																									
35	7	Magic Shop	13	89	Gifts of Regna	Flynn	Magician	2174	0	0	0	4	1.5		28			6	18	0	0	0	0	IdentifyItem,RepairItem																																									
36	8	Magic Shop	2	23	Caori's Curios	Caori	Magician	2102	0	0	0	2	1		14			6	18	0	0	0	0	IdentifyItem,RepairItem																																									
37	9	Magic Shop	0	0	Placeholder	Placeholder	Magician	0	0	0	0	0	0		0			6	18	0	0	0	0																																										
38	10	Magic Shop	0	0	Placeholder	Placeholder	Magician	0	0	0	0	0	0		0			6	18	0	0	0	0																																										
39	11	Magic Shop	0	0	Placeholder	Placeholder	Magician	0	0	0	0	0	0		0			6	18	0	0	0	0																																										
40	12	Magic Shop	0	0	Placeholder	Placeholder	Magician	0	0	0	0	0	0		0			6	18	0	0	0	0																																										
41	13	Magic Shop	0	0	Placeholder	Placeholder	Magician	0	0	0	0	0	0		0			6	18	0	0	0	0																																										
42	1	Alchemist	1	8	Herbal Elixirs	Shelvin	Alchemist	2111	0	0	0	2	1		7			6	18	0	0	0	0	Alchemy,IdentifyMonster																																									
43	2	Alchemist	2	8	Apothecary	Tristan	Alchemist	2111	0	0	0	3	1		7			6	18	0	0	0	0	Alchemy,IdentifyMonster																																									
44	3	Alchemist	3	22	Prepared Potions	Navarre	Alchemist	2121	0	0	0	3	1		7			6	18	0	0	0	0	Alchemy,IdentifyMonster																																									
45	4	Alchemist	6	65	Wolves' Bane	Melantha	Alchemist	2148	0	0	0	4	1		7			6	18	0	0	0	0	Alchemy,IdentifyMonster																																									
46	5	Alchemist	13	88	Poultices and Cures	Olesia	Alchemist	2172	0	0	0	5	1.5		14			6	18	0	0	0	0	Alchemy,IdentifyMonster																																									
47	6	Alchemist	35	38	Perius' Powders	Perius	Alchemist	2166	0	0	0	5	1.5		14			6	18	0	0	0	0	Alchemy,IdentifyMonster																																									
48	7	Alchemist	0	0	Placeholder	Placeholder	Alchemist	0	0	0	0	0	0		0			6	18	0	0	0	0																																										
49	8	Alchemist	0	0	Placeholder	Placeholder	Alchemist	0	0	0	0	0	0		0			6	18	0	0	0	0																																										
50	9	Alchemist	0	0	Placeholder	Placeholder	Alchemist	0	0	0	0	0	0		0			6	18	0	0	0	0																																										
51	10	Alchemist	0	0	Placeholder	Placeholder	Alchemist	0	0	0	0	0	0		0			6	18	0	0	0	0																																										
52	11	Alchemist	0	0	Placeholder	Placeholder	Alchemist	0	0	0	0	0	0		0			6	18	0	0	0	0																																										
53	12	Alchemist	0	0	Placeholder	Placeholder	Alchemist	0	0	0	0	0	0		0			6	18	0	0	0	0																																										
54	1	Stables	2	94	Guild Caravans	Wayland	Stablemaster	1249	0	0	0	2	1					6	18	0	0	0	0																																										
55	2	Stables	3	94	Guild Caravans	Templeton	Stablemaster	1249	0	0	0	3	1					6	18	0	0	0	0																																										
56	3	Stables	4	94	Guild Caravans	Elsinar	Stablemaster	1249	0	0	0	3	1					6	18	0	0	0	0																																										
57	4	Stables	5	94	Guild Caravans	Dalas	Stablemaster	1249	0	0	0	5	1					6	18	0	0	0	0																																										
58	5	Stables	6	94	Guild Caravans	Troy	Stablemaster	1249	0	0	0	5	1					6	18	0	0	0	0																																										
59	6	Stables	0	94	Guild Caravans	Placeholder	Stablemaster	0	0	0	0	10	1					6	18	0	0	0	0																																										
60	7	Stables	0	94	Guild Caravans	Placeholder	Stablemaster	0	0	0	0	10	1					6	18	0	0	0	0																																										
61	8	Stables	0	94	Guild Caravans	Placeholder	Stablemaster	0	0	0	0	1.5	1					6	18	0	0	0	0																																										
62	9	Stables	0	94	Guild Caravans	Placeholder	Stablemaster	0	0	0	0	1.5	1					6	18	0	0	0	0																																										
63	1	Boats	1	29	The Windling	Calamar	Captain	2127	0	0	0	1.5	1					6	18	0	0	0	0																																										
64	2	Boats	2	29	The Dauntless	Alinor	Captain	2127	0	0	0	2	1					6	18	0	0	0	0																																										
65	3	Boats	6	80	Smoke	Misk	Smuggler	2180	0	0	0	2	1					6	18	0	0	0	0																																										
66	4	Boats	8	80	Mist	Barr	Smuggler	2180	0	0	0	5	1					6	18	0	0	0	0																																										
67	5	Boats	2	80	Wind	Peel	Smuggler	2180	0	0	0	10	1					6	18	0	0	0	0																																										
68	6	Boats	13	29	Spindrift	Marty	Captain	2127	0	0	0	1.5	1					6	18	0	0	0	0																																										
69	7	Boats	0	0	Placeholder	Placeholder	Captain	0	0	0	0	5	1					6	18	0	0	0	0																																										
70	8	Boats	0	0	Placeholder	Placeholder	Captain	0	0	0	0	5	1					6	18	0	0	0	0																																										
71	9	Boats	0	0	Placeholder	Placeholder	Captain	0	0	0	0	10	1					6	18	0	0	0	0																																										
72	10	Boats	0	0	Placeholder	Placeholder	Captain	0	0	0	0	1.5	1					6	18	0	0	0	0																																										
73	11	Boats	0	0	Placeholder	Placeholder	Captain	0	0	0	0	1.5	1					6	18	0	0	0	0																																										
74	1	Temple	1	5	Mystic Medicine	Pish	Healer	2108	0	0	0	10	1					1	24	0	0	0	0	Unarmed,Dodging,Merchant																																									
75	2	Temple	2	48	Sanctum	Maricia	Healer	1138	0	0	0	25	1					1	24	0	0	0	0	Unarmed,Dodging,Merchant																																									
76	3	Temple	3	19	House of Healing	Meaglan	Healer	2118	0	0	0	30	1.5					1	24	0	0	0	0	Unarmed,Dodging,Merchant																																									
77	4	Temple	5	48	Sacred Steel	Laudra	Healer	1138	0	0	0	30	1.5					1	24	0	0	0	0	Unarmed,Dodging,Merchant																																									
78	5	Temple	6	62	Cathedral of Night	Evania	Healer	2145	0	0	0	40	1.5					1	24	0	0	0	0	Unarmed,Dodging,Merchant																																									
79	6	Temple	35	35	The Shaman	Wyx	Healer	2171	0	0	0	40	1.5					1	24	0	0	0	0	Unarmed,Dodging,Merchant																																									
80	7	Temple	13	85	The Blessed Sea	Enid	Healer	1228	0	0	0	50	2					1	24	0	0	0	0	Unarmed,Dodging,Merchant																																									
81	8	Temple	0	0	Placeholder	Placeholder	Healer	0	0	0	0	50	2					1	24	0	0	0	0																																										
82	9	Temple	0	0	Placeholder	Placeholder	Healer	0	0	0	0	100	2.5					1	24	0	0	0	0																																										
83	10	Temple	0	0	Placeholder	Placeholder	Healer	0	0	0	0	30	1.5					1	24	0	0	0	0																																										
84	11	Temple	0	0	Placeholder	Placeholder	Healer	0	0	0	0	30	1.5					1	24	0	0	0	0																																										
85	12	Temple	0	0	Placeholder	Placeholder	Healer	0	0	0	0	40	1.5					1	24	0	0	0	0																																										
86	13	Temple	0	0	Placeholder	Placeholder	Healer	0	0	0	0	5	1					1	24	0	0	0	0																																										
87	14	Temple	0	0	Placeholder	Placeholder	Healer	0	0	0	0	1.5	1					1	24	0	0	0	0																																										
88	15	Temple	0	0	Placeholder	Placeholder	Healer	0	0	0	0	1.5	1					1	24	0	0	0	0																																										
89	1	Training	1	11	Rites of Passage	Nishton	Instructor	2114	0	0	0	10	1				5	6	18	0	0	0	0	Armsmaster,Bodybuilding																																									
90	2	Training	2	25	Gymnasium	Yarin	Instructor	2124	0	0	0	20	1				15	6	18	0	0	0	0	Armsmaster,Bodybuilding																																									
91	3	Training	3	25	Guild Training Hall	Barin	Instructor	2124	0	0	0	25	1				25	6	18	0	0	0	0	Armsmaster,Bodybuilding																																									
92	4	Training	5	52	Godric's Gauntlet	Godric	Instructor	2142	0	0	0	25	1				25	6	18	0	0	0	0	Armsmaster,Bodybuilding																																									
93	5	Training	6	68	Assassin's School	Lehava	Instructor	1149	0	0	0	30	1.5				200	6	18	0	0	0	0	Armsmaster,Bodybuilding																																									
94	6	Training	35	41	Balthazar Academy	Gierd	Instructor	2170	0	0	0	30	1.5				200	6	18	0	0	0	0	Armsmaster,Bodybuilding																																									
95	7	Training	0	0	Placeholder	Placeholder	Instructor	0	0	0	0	50	2.5				No Max	6	18	0	0	0	0																																										
96	8	Training	0	0	Placeholder	Placeholder	Instructor	0	0	0	0	40	2				50	6	18	0	0	0	0																																										
97	9	Training	0	0	Placeholder	Placeholder	Instructor	0	0	0	0	80	2				50	6	18	0	0	0	0																																										
98	10	Training	0	0	Placeholder	Placeholder	Instructor	0	0	0	0	40	3				100	6	18	0	0	0	0																																										
99	11	Training	0	0	Placeholder	Placeholder	Instructor	0	0	0	0	1.5	1					6	18	0	0	0	0																																										
100	12	Training	0	0	Placeholder	Placeholder	Instructor	0	0	0	0	1.5	1					6	18	0	0	0	0																																										
101	13	Training	0	0	Placeholder	Placeholder	Instructor	0	0	0	0	1.5	1					6	18	0	0	0	0																																										
102	1	Town Hall	2	0	Placeholder	Placeholder	Clerk	0	0	0	0	1.5	1					6	18	0	0	0	0																																										
103	2	Town Hall	3	0	Placeholder	Placeholder	Clerk	0	0	0	0	1.5	1					6	18	0	0	0	0																																										
104	3	Town Hall	4	0	Placeholder	Placeholder	Clerk	0	0	0	0	1.5	1					6	18	0	0	0	0																																										
105	4	Town Hall	7	0	Placeholder	Placeholder	Clerk	0	0	0	0	1.5	1					6	18	0	0	0	0																																										
106	5	Town Hall	8	0	Placeholder	Placeholder	Clerk	0	0	0	0	1.5	1					6	18	0	0	0	0																																										
107	1	Tavern	1	13	The Grog and Grub	Tubrict	Innkeep	2116	0	0	0	6	1					5	2	0	0	0	0	Stealing,DisarmTraps,Perception																																									
108	2	Tavern	2	27	Kessel's Kantina	Kessel	Innkeep	2126	0	0	0	10	1					5	2	0	0	0	0	Stealing,DisarmTraps,Perception																																									
109	3	Tavern	3	27	Profit House	Dantilion	Innkeep	2126	0	0	0	15	1					5	2	0	0	0	0	Stealing,DisarmTraps,Perception																																									
110	4	Tavern	4	79	Parched Throat	Rethnar	Innkeep	2158	0	0	0	15	1					5	2	0	0	0	0	Stealing,DisarmTraps,Perception																																									
111	5	Tavern	5	53	Dragon's Blood Inn	Melody	Barmaid	1138	0	0	0	25	1					1	24	0	0	0	0	Stealing,DisarmTraps,Perception																																									
112	6	Tavern	6	70	Black Company	Fetish	Innkeep	2153	0	0	0	50	1					1	24	0	0	0	0	Stealing,DisarmTraps,Perception																																									
113	7	Tavern	7	95	Traveler's Rest	Walvis	Innkeep	2178	0	0	0	35	1.5					5	2	0	0	0	0	Stealing,DisarmTraps,Perception																																									
114	8	Tavern	8	43	Bull's Eye Inn	Gurney	Innkeep	2169	0	0	0	40	1.5					1	24	0	0	0	0	Stealing,DisarmTraps,Perception																																									
115	9	Tavern	13	91	Pirate's Rest	Longbeard	Innkeep	2176	0	0	0	60	1					5	2	0	0	0	0	Stealing,DisarmTraps,Perception																																									
116	10	Tavern	2	53	The Dancing Ogre	Trishia	Barmaid	1138	0	0	0	17	2					1	24	0	0	0	0	Stealing,DisarmTraps,Perception																																									
117	11	Tavern	3	27	Miho's Roadhouse	Miho	Innkeep	2126	0	0	0	20	1					5	2	0	0	0	0	Stealing,DisarmTraps,Perception																																									
118	12	Tavern	0	0	Placeholder	Placeholder	Innkeep	0	0	0	0	1	1.5					5	2	0	0	0	0																																										
119	13	Tavern	0	0	Placeholder	Placeholder	Innkeep	0	0	0	0	1	1.5					5	2	0	0	0	0																																										
120	14	Tavern	0	0	Placeholder	Placeholder	Innkeep	0	0	0	0	1	1.5					5	2	0	0	0	0																																										
121	15	Tavern	0	0	Placeholder	Placeholder	Innkeep	0	0	0	0	1	1					8	2	0	0	0	0																																										
122	16	Tavern	0	0	Placeholder	Placeholder	Innkeep	0	0	0	0	1	1					8	2	0	0	0	0																																										
123	17	Tavern	0	0	Placeholder	Placeholder	Innkeep	0	0	0	0	1	1					8	2	0	0	0	0																																										
124	18	Tavern	0	0	Placeholder	Placeholder	Innkeep	0	0	0	0	1	1					8	2	0	0	0	0																																										
125	19	Tavern	0	0	Placeholder	Placeholder	Innkeep	0	0	0	0	1	1					8	2	0	0	0	0																																										
126	20	Tavern	0	0	Placeholder	Placeholder	Innkeep	0	0	0	0	1	1					8	2	0	0	0	0																																										
127	21	Tavern	0	0	Placeholder	Placeholder	Innkeep	0	0	0	0	1	1					8	2	0	0	0	0																																										
128	1	Bank	1	12	The Some Place Safe	Ish	Banker	2115	0	0	0	1	1					6	18	0	0	0	0																																										
129	2	Bank	2	26	Steele's Vault	Steele	Banker	2125	0	0	0	1	1					6	18	0	0	0	0																																										
130	3	Bank	3	26	Guild House of Finance	Isram	Banker	2125	0	0	0	1	1					6	18	0	0	0	0																																										
131	4	Bank	6	69	The Blood Bank	Vijay	Banker	2152	0	0	0	1	1					6	18	0	0	0	0																																										
132	5	Bank	35	42	Bank of Balthazar	Ignus	Banker	2136	0	0	0	1	1					6	18	0	0	0	0																																										
133	6	Bank	0	0	Placeholder	Placeholder	Banker	0	0	0	0	1	1					6	18	0	0	0	0																																										
134	7	Bank	0	0	Placeholder	Placeholder	Banker	0	0	0	0	1	1					6	18	0	0	0	0																																										
135	8	Bank	0	0	Placeholder	Placeholder	Banker	0	0	0	0	1	1					6	18	0	0	0	0																																										
136	9	Bank	0	0	Placeholder	Placeholder	Banker	0	0	0	0	1	1					6	18	0	0	0	0																																										
137	10	Bank	0	0	Placeholder	Placeholder	Banker	0	0	0	0	1	1					6	18	0	0	0	0																																										
138	11	Bank	0	0	Placeholder	Placeholder	Banker	0	0	0	0	1	1					6	18	0	0	0	0																																										
139	1	Elemental Guild	1	139	Cures and Curses	Yeshin	Scribe	2113	0	0	0	2	1		14	4		6	18	0	0	0	0	FireMagic,AirMagic,WaterMagic,EarthMagic,Learning																																									
140	2	Elemental Guild	2	143	Vexation's Hexes	Vexation	Scribe	2123	0	0	0	3	1.5		14	7		6	18	0	0	0	0	FireMagic,AirMagic,WaterMagic,EarthMagic,Learning																																									
141	3	Self Guild	3	148	Self Study	Larin	Scribe	2168	0	0	0	4	2		28	4		6	18	0	0	0	0	SpiritMagic,MindMagic,BodyMagic,Meditation																																									
142	4	Light Guild	5	145	Guild of Light	Sheivi	Scribe	2123	0	0	0	5	2.5		28	"4,7,10,11"		6	18	0	0	0	0	LightMagic																																									
143	1	Dark Guild	6	154	Guild of Dark	Raziah	Scribe	2150	0	0	0	2	1		14	"4,7,10,11"		6	18	0	0	0	0	DarkMagic																																									
144	2	Spell Shop	0	0	Placeholder	Placeholder	Scribe	0	0	0	0	3	1.5		14			6	18	0	0	0	0																																										
145	3	Self Guild	35	148	Guild of Mind	Didos	Scribe	2168	0	0	0	4	2		28	7		6	18	0	0	0	0	SpiritMagic,MindMagic,BodyMagic,Meditation																																									
146	4	Elemental Guild	13	155	Protective Magic	Quiana	Scribe	2175	0	0	0	5	2.5		28	10		6	18	0	0	0	0	FireMagic,AirMagic,WaterMagic,EarthMagic,Learning																																									
147	1	Elemental Guild	3	143	Elemental Guild	Yiadia	Scribe	2123	0	0	0	2	1		14	11		6	18	0	0	0	0	FireMagic,AirMagic,WaterMagic,EarthMagic,Learning																																									
148	2	Self Guild	2	148	Self Guild	Kojo	Scribe	2168	0	0	0	3	1.5		14	"10,11"		6	18	0	0	0	0	SpiritMagic,MindMagic,BodyMagic,Meditation																																									
149	3	Spell Shop	0	0	Placeholder	Placeholder	Scribe	0	0	0	0	4	2		28			6	18	0	0	0	0																																										
150	4	Spell Shop	0	0	Placeholder	Placeholder	Scribe	0	0	0	0	5	2.5		28			6	18	0	0	0	0																																										
151	1	Spell Shop	0	0	Placeholder	Placeholder	Scribe	0	0	0	0	2	1		14			6	18	0	0	0	0																																										
152	2	Spell Shop	0	0	Placeholder	Placeholder	Scribe	0	0	0	0	3	1.5		14			6	18	0	0	0	0																																										
153	3	Spell Shop	0	0	Placeholder	Placeholder	Scribe	0	0	0	0	4	2		28			6	18	0	0	0	0																																										
154	4	Spell Shop	0	0	Placeholder	Placeholder	Scribe	0	0	0	0	5	2.5		28			6	18	0	0	0	0																																										
155	1	Spell Shop	0	0	Placeholder	Placeholder	Scribe	0	0	0	0	2	1		14			6	18	0	0	0	0																																										
156	2	Spell Shop	0	0	Placeholder	Placeholder	Scribe	0	0	0	0	3	1.5		14			6	18	0	0	0	0																																										
157	3	Spell Shop	0	0	Placeholder	Placeholder	Scribe	0	0	0	0	4	2		28			6	18	0	0	0	0																																										
158	4	Spell Shop	0	0	Placeholder	Placeholder	Scribe	0	0	0	0	5	2.5		28			6	18	0	0	0	0																																										
159	1	Spell Shop	0	0	Placeholder	Placeholder	Scribe	0	0	0	0	2	1		14			6	18	0	0	0	0																																										
160	2	Spell Shop	0	0	Placeholder	Placeholder	Scribe	0	0	0	0	3	1.5		14			6	18	0	0	0	0																																										
161	3	Spell Shop	0	0	Placeholder	Placeholder	Scribe	0	0	0	0	4	2		28			6	18	0	0	0	0																																										
162	4	Spell Shop	0	0	Placeholder	Placeholder	Scribe	0	0	0	0	5	2.5		28			6	18	0	0	0	0																																										
163	1	Spell Shop	0	0	Placeholder	Placeholder	Scribe	0	0	0	0	2	1		14			6	18	0	0	0	0																																										
164	2	Spell Shop	0	0	Placeholder	Placeholder	Scribe	0	0	0	0	3	1.5		14			6	18	0	0	0	0																																										
165	3	Spell Shop	0	0	Placeholder	Placeholder	Scribe	0	0	0	0	4	2		28			6	18	0	0	0	0																																										
166	4	Spell Shop	0	0	Placeholder	Placeholder	Scribe	0	0	0	0	5	2.5		28			6	18	0	0	0	0																																										
167	1	Spell Shop	0	0	Placeholder	Placeholder	Scribe	0	0	0	0	4	2		14			6	18	0	0	0	0																																										
168	2	Spell Shop	0	0	Placeholder	Placeholder	Scribe	0	0	0	0	5	2.5		14			6	18	0	0	0	0																																										
169	1	Spell Shop	0	0	Placeholder	Placeholder	Scribe	0	0	0	0	4	2		14			6	18	0	0	0	0																																										
170	2	Spell Shop	0	0	Placeholder	Placeholder	Scribe	0	0	0	0	5	2.5		14			6	18	0	0	0	0																																										
171	1	Spell Shop	0	0	Placeholder	Placeholder	Scribe	0	0	0	0	1.5	1		14			6	18	0	0	0	0																																										
172	2	Spell Shop	0	0	Placeholder	Placeholder	Scribe	0	0	0	0	1.5	1		14			6	18	0	0	0	0																																										
173	1	Castle Entrance	1	14	Clan Leader's Hall	Placeholder	Brekish One-Fang	117	0	0	0	1.5				129		 	 	0	0	0	0																																										
174	2	Castle Entrance	2	81	Wererat Smuggler Leader	Placeholder	Wererat Smuggler	160	0	0	0	1.5				168		  	 	0	0	0	0																																										
175	1	Castle Entrance	2	30	Council Chamber Door	Placeholder	Merchant	102	0	0	0	1.5				133		 	 	0	0	0	0																																										
176	2	Castle Entrance	3	28	Merchant Guildhouse	Placeholder	Merchant	0	0	0	0	1.5				169		 	 	0	0	0	0																																										
177	1	Castle Entrance	4	77	Overdune's House	Placeholder	Overdune	101	0	0	0	1.5				134		 	 	0	0	0	0																																										
178	2	Castle Entrance	5	72	Dragon Leader's Cavern 	Placeholder	Dragon	104	0	0	0	1.5				170		 	 	0	0	0	0																																										
179	1	Castle Entrance	5	54	Charles Quixote's House	Placeholder	Charles Quixote	105	0	0	0	1.5				1		 	 	0	0	0	0																																										
180	2	Castle Entrance	6	71	Sandro/Thant's Throne Room	Placeholder	Sandro	0	0	0	0	1.5				172		 	 	0	0	0	0																																										
181	1	Castle Entrance	6	61	Dyson Leland's Room	Placeholder	Dyson Leland	0	0	0	0	1.5				1		 	 	0	0	0	0																																										
182	2	Castle Entrance	7	57	Temple of the Sun Leader Room	Placeholder	Placeholder	0	0	0	0	1.5				171		 	 	0	0	0	0																																										
183	1	Castle Entrance	8	44	Minotaur Leader's Room	Placeholder	Placeholder	106	0	0	0	1.5				1		 	 	0	0	0	0																																										
184	2	Castle Entrance	14	93	Escaton's Throne Room	Placeholder	Escaton	100	0	0	0	1.5				Kastore		 	 	0	0	0	0																																										
185	1	The Adventurer's Inn	2	96	The Adventurer's Inn	Placeholder		0	0	0	0	1.5				1		  	  	0	0	0	0																																										
186	1	The Adventurer's Inn	1	0	The Adventurer's Inn	Placeholder		0	0	0	0	1.5						 	 	0	0	0	0																																										
187	1	Seer	2	0	Oracle	Placeholder		0	0	0	0	1.5								0	0	0	0																																										
188	1	The Adventurer's Inn	6	0	The Adventurer's Inn	Placeholder		0	0	0	0	1.5				1				0	0	0	0																																										
189	1	The Adventurer's Inn	13	0	The Adventurer's Inn	Placeholder		0	0	0	0	1.5				1				0	0	0	0																																										
190	1	The Adventurer's Inn	35	0	The Adventurer's Inn	Placeholder		0	0	0	0	1.5				1				0	0	0	0																																										
191	1	Dungeon Ent	1	102	Abandoned Temple	Placeholder		0	0	0	0	1.5						 	 	3	0	0	0																																										
192	2	Dungeon Ent	1	103	Pirate Outpost	Placeholder		0	0	0	0	1.5						 	 	3	0	0	0																																										
193	3	Dungeon Ent	2	104	Smuggler's Cove	Placeholder		0	0	0	0	1.5						 	 	0	0	0	0																																										
194	4	Dungeon Ent	2	105	Dire Wolf Den	Placeholder		0	0	0	0	1.5						 	 	0	0	0	0																																										
195	5	Dungeon Ent	2	106	Merchanthouse of Alvar	Placeholder		0	0	0	0	1.5						 	 	0	0	0	0																																										
196	6	Dungeon Ent	2	107	Inside the Crystal	Placeholder		0	0	0	0	1.5						 	 	0	0	0	0																																										
197	7	Dungeon Ent	3	108	Wasp Nest	Placeholder		0	0	0	0	1.5						 	 	0	0	0	0																																										
198	8	Dungeon Ent	3	109	Ogre Raiding Fort	Placeholder		0	0	0	0	1.5						 	 	0	0	0	0																																										
199	9	Dungeon Ent	4	110	Troll Tomb	Placeholder		0	0	0	0	1.5						 	 	0	0	0	0																																										
200	10	Dungeon Ent	4	111	Cyclops Larder	Placeholder		0	0	0	0	1.5						 	 	0	0	0	0																																										
201	11	Dungeon Ent	4	112	Chain of Fire	Placeholder		0	0	0	0	1.5						 	 	0	0	0	0																																										
202	12	Dungeon Ent	5	113	Dragon Hunter Camp	Placeholder		0	0	0	0	1.5						 	 	0	0	0	0																																										
203	13	Dungeon Ent	5	114	Dragon Cave	Placeholder		0	0	0	0	1.5						 	 	0	0	0	0																																										
204	14	Dungeon Ent	5	115	Naga Vault	Placeholder		0	0	0	0	1.5						 	 	0	0	0	0																																										
205	15	Dungeon Ent	7	116	Temple of the Sun	Placeholder		0	0	0	0	1.5						 	 	0	0	0	0																																										
206	16	Dungeon Ent	7	117	Abandoned Druid Circle	Placeholder		0	0	0	0	1.5						 	 	0	0	0	0																																										
207	17	Dungeon Ent	8	118	Minotaur Lair	Placeholder		0	0	0	0	1.5						 	 	0	0	0	0																																										
208	18	Dungeon Ent	8	119	Barbarian Fortress	Placeholder		0	0	0	0	1.5						 	 	0	0	0	0																																										
